from	to	title	journ	pub_year	doc_type
au14	au44	Predicting conflict acts using behavior and style measures	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT	2018	Article
au14	au18	Predicting conflict acts using behavior and style measures	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT	2018	Article
au44	au18	Predicting conflict acts using behavior and style measures	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT	2018	Article
au14	au4	Empathy-Related Interventions	WILEY BLACKWELL HANDBOOK OF POSITIVE PSYCHOLOGICAL INTERVENTIONS	2014	Article; Book Chapter
au8	au14	THE ROLE OF THE SELF IN PERSPECTIVE-TAKING AND EMPATHY: EASE OF SELF-SIMULATION AS A HEURISTIC FOR INFERRING EMPATHIC FEELINGS	SOCIAL COGNITION	2012	Article
au25	au31	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au25	au50	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au25	au9	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au25	au14	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au31	au50	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au31	au9	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au31	au14	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au50	au9	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au50	au14	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au9	au14	The Validation of the Interpersonal Reactivity Index for Chinese Teachers From Primary and Middle Schools	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	Article
au14	au7	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au14	au28	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au7	au28	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au16	au14	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au16	au52	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au16	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au14	au52	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au14	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au52	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au14	au28	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au14	au7	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au28	au7	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au15	au6	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au15	au52	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au15	au42	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au15	au41	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au15	au14	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au52	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au42	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au41	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
