au_id	au_name
au1	ACKER, M
au2	ARCHER, RL
au3	BAZZINI, D
au4	BEGOVIC, E
au5	BERNSTEIN, WM
au6	BUYSSE, A
au7	CAPOBIANCO, S
au8	CHAMBERS, JR
au9	CHEN, HD
au10	CHURCH, M
au11	COLE, J
au12	CONKLIN, L
au13	CONNELLY, M
au14	DAVIS, M
au15	DAVIS, MH
au16	DAVIS, MK
au17	DE CORTE, K
au18	DEVOLDRE, I
au19	DIAZLOVING, R
au20	ELLIS, L
au21	FOUSHEE, HC
au22	FRANZOI, SL
au23	GADOL, E
au24	GOLLWITZER, PM
au25	HALL, JA
au26	HARVEY, JC
au27	HAUK, S
au28	HUANG, XZ
au29	HULL, JG
au30	ICKES, W
au31	JUDD, AB
au32	KIRCHMAN, CM
au33	KRAUS, LA
au34	KRAUS, SJ
au35	KUTE, M
au36	LI, WJ
au37	LOTHERT, J
au38	LUCE, C
au39	MARKWIESE, B
au40	MATZLER, K
au41	MEYER, M
au42	MEYER, N
au43	MITCHELL, KV
au44	MOORADIAN, TA
au45	MORRIS, MM
au46	MYERS, M
au47	OATHOUT, HA
au48	PONNET, K
au49	ROEYERS, H
au50	RUNGE, TE
au51	SMITH, A
au52	SNAPP, T
au53	SODERLUND, T
au54	STEPHAN, C
au55	STEPHAN, WG
au56	SUN, BH
au57	TSAY, JJ
au58	VASQUEZSUSON, KA
au59	VERHOFSTADT, LL
au60	WARREN, GG
au61	WEIHING, J
au62	YOUNG, RD
