au_id	au_name
au1	ACKER, M
au2	ARCHER, RL
au3	BAZZINI, D
au4	BEGOVIC, E
au5	BERNSTEIN, WM
au6	BUYSSE, A
au7	CAPOBIANCO, S
au8	CHAMBERS, JR
au9	CHEN, HD
au10	CHURCH, M
au11	COLE, J
au12	CONKLIN, L
au13	CONNELLY, M
au14	DAVIS, M
au15	DAVIS, MH
au16	DE CORTE, K
au17	DEVOLDRE, I
au18	DIAZLOVING, R
au19	ELLIS, L
au20	FOUSHEE, HC
au21	FRANZOI, SL
au22	GADOL, E
au23	GOLLWITZER, PM
au24	HALL, JA
au25	HARVEY, JC
au26	HUANG, XZ
au27	HULL, JG
au28	ICKES, W
au29	KIRCHMAN, CM
au30	KRAUS, LA
au31	KRAUS, SJ
au32	KUTE, M
au33	LI, WJ
au34	LOTHERT, J
au35	LUCE, C
au36	MARKWIESE, B
au37	MATZLER, K
au38	MEYER, M
au39	MEYER, N
au40	MITCHELL, KV
au41	MOORADIAN, TA
au42	MORRIS, MM
au43	MYERS, M
au44	OATHOUT, HA
au45	PONNET, K
au46	ROEYERS, H
au47	RUNGE, TE
au48	SMITH, A
au49	SNAPP, T
au50	SODERLUND, T
au51	STEPHAN, C
au52	STEPHAN, WG
au53	SUN, BH
au54	VASQUEZSUSON, KA
au55	VERHOFSTADT, LL
au56	WARREN, GG
au57	WEIHING, J
au58	YOUNG, RD
