PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Elliott, R; Bohart, AC; Watson, JC; Murphy, D				Elliott, Robert; Bohart, Arthur C.; Watson, Jeanne C.; Murphy, David			Therapist Empathy and Client Outcome: An Updated Meta-Analysis	PSYCHOTHERAPY																Elliott, Robert/AAV-1664-2020	Elliott, Robert/0000-0002-3527-3397												0033-3204	1939-1536				DEC	2018	55	4			SI		399	410		10.1037/pst0000175							WOS:000448315700007	30335453					
J	Leppma, M; Young, ME				Leppma, Monica; Young, Mark E.			Loving-Kindness Meditation and Empathy: A Wellness Group Intervention for Counseling Students	JOURNAL OF COUNSELING AND DEVELOPMENT																													0748-9633	1556-6676				JUL	2016	94	3					297	305		10.1002/jcad.12086							WOS:000378637100006						
J	Love, MM; Smith, AE; Lyall, SE; Mullins, JL; Cohn, TJ				Love, Michael M.; Smith, Adam E.; Lyall, Sarah E.; Mullins, Jaclyn L.; Cohn, Tracy J.			Exploring the Relationship Between Gay Affirmative Practice and Empathy Among Mental Health Professionals	JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT																													0883-8534	2161-1912				APR	2015	43	2					83	96		10.1002/j.2161-1912.2015.00066.x							WOS:000352229200002						
J	Ampuero, D; Miranda, CE; Delgado, LE; Goyen, S; Weaver, S				Ampuero, David; Miranda, Christian E.; Delgado, Luisa E.; Goyen, Samantha; Weaver, Sean			Empathy and critical thinking: primary students solving local environmental problems through outdoor learning	JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING																	Delgado, Luisa/0000-0002-8364-9993												1472-9679	1754-0402					2015	15	1					64	78		10.1080/14729679.2013.848817							WOS:000212202200005						
J	Ampuero, DA; Miranda, C; Goyen, S				Ampuero, David Andres; Miranda, Christian; Goyen, Samantha			Positive psychology in education for sustainable development at a primary-education institution	LOCAL ENVIRONMENT																													1354-9839	1469-6711					2015	20	7					745	763		10.1080/13549839.2013.869199							WOS:000212150800001						
J	Leong, FTL; Pearce, M; Huang, JL				Leong, Frederick T. L.; Pearce, Marina; Huang, Jason L.			Assessing Scientist and Practitioner Orientations in Industrial/Organizational Psychology	JOURNAL OF CAREER ASSESSMENT																													1069-0727	1552-4590				AUG	2013	21	3					452	468		10.1177/1069072712475180							WOS:000329572900007						
J	Mellor, D; Fung, SWT; Muhammad, NHBM				Mellor, David; Fung, Sheryn Wei Ting; Muhammad, Norul Hidayah Binti Mamat			Forgiveness, Empathy and Gender-A Malaysian Perspective	SEX ROLES																	Mellor, David/0000-0001-5007-5906												0360-0025	1573-2762				JUL	2012	67	1-2					98	107		10.1007/s11199-012-0144-4							WOS:000304664800008						
J	Fernandez, AM; Dufey, M; Kramp, U				Maria Fernandez, Ana; Dufey, Michele; Kramp, Uwe			Testing the Psychometric Properties of the Interpersonal Reactivity Index (IRI) in Chile Empathy in a Different Cultural Context	EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT																Fernandez, Ana Maria/E-6429-2011	Fernandez, Ana Maria/0000-0003-4132-5891												1015-5759	2151-2426					2011	27	3					179	185		10.1027/1015-5759/a000065							WOS:000293384900007						
J	Cron, WL; Gilly, MC; Graham, JL; Slocum, JW				Cron, William L.; Gilly, Mary C.; Graham, John L.; Slocum, John W., Jr.			Gender differences in the pricing of professional services: Implications for income and customer relationships	ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES																													0749-5978	1095-9920				MAY	2009	109	1					93	105		10.1016/j.obhdp.2008.11.004							WOS:000266114800009						
J	Byrne, DG; Davenport, SC				Byrne, DG; Davenport, SC			Contemporary profiles of clinical and health psychologists in Australia	AUSTRALIAN PSYCHOLOGIST																													0005-0067	1742-9544				NOV	2005	40	3					190	201		10.1080/00050060500243434							WOS:000233854400007						
J	Harton, HC; Lyons, PC				Harton, HC; Lyons, PC			Gender, empathy, and the choice of the psychology major	TEACHING OF PSYCHOLOGY																													0098-6283					WIN	2003	30	1					19	24		10.1207/S15328023TOP3001_03							WOS:000180785900002						
J	Norcross, JC; Hedges, M; Castle, PH				Norcross, JC; Hedges, M; Castle, PH			Psychologists conducting psychotherapy in 2001: A study of the division 29 membership	PSYCHOTHERAPY																													0033-3204					SPR	2002	39	1					97	102		10.1037//0033-3204.39.1.97							WOS:000227650300010						
