PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kim, Y; Park, K				Kim, Yaeri; Park, Kiwan			When the Underdog Positioning Backfires! The Effects of Ethical Transgressions on Attitudes Toward Underdog Brands	FRONTIERS IN PSYCHOLOGY																													1664-1078					SEP 4	2020	11								1988	10.3389/fpsyg.2020.01988							WOS:000572228300001	33013509					
J	Kim, J; Lacey, R; Kim, HR; Suh, J				Kim, Jiyoung; Lacey, Russell; Kim, Hae-Ryong; Suh, Jaebeom			How CSR serves as a preventive mechanism for coping with dysfunctional customer behavior	SERVICE BUSINESS																	Lacey, Russell/0000-0001-6231-7765												1862-8516	1862-8508				DEC	2019	13	4					671	694		10.1007/s11628-019-00400-w							WOS:000496018100003						
J	Meinecke, AL; Kauffeld, S				Meinecke, Annika L.; Kauffeld, Simone			Engaging the Hearts and Minds of Followers: Leader Empathy and Language Style Matching During Appraisal Interviews	JOURNAL OF BUSINESS AND PSYCHOLOGY																Meinecke, Annika/ABH-1024-2020	Meinecke, Annika/0000-0001-7551-563X												0889-3268	1573-353X				AUG	2019	34	4					485	501		10.1007/s10869-018-9554-9							WOS:000475660800005						
J	Delpechitre, D; Rutherford, BN; Comer, LB				Delpechitre, Duleep; Rutherford, Brian Nicholas; Comer, Lucette B.			The importance of customer's perception of salesperson's empathy in selling	JOURNAL OF BUSINESS & INDUSTRIAL MARKETING																													0885-8624	2052-1189				MAR 4	2019	34	2					374	388		10.1108/JBIM-03-2017-0073							WOS:000460932300008						
J	Saini, GK; Pandey, SK; Singh, A; Kalyanaram, G				Saini, Gordhan K.; Pandey, S. K.; Singh, Archana; Kalyanaram, Gurumurthy			Role of Empathy and Customer Orientation in Job Satisfaction and Organizational Commitment	NMIMS MANAGEMENT REVIEW																													0971-1023					AUG	2018	36	2					10	25									WOS:000442719600002						
J	Barlow, MR; Hetzel-Riggin, MD				Barlow, M. Rose; Hetzel-Riggin, Melanie D.			Predicting Posttraumatic Growth in Survivors of Interpersonal Trauma: Gender Role Adherence is More Important Than Gender	PSYCHOLOGY OF MEN & MASCULINITY																	Barlow, M. Rose/0000-0002-6361-3176; Hetzel-Riggin, Melanie/0000-0001-7302-0676												1524-9220	1939-151X				JUL	2018	19	3					446	456		10.1037/men0000128							WOS:000435945200012						
J	Colman, DE; Letzring, TD; Biesanz, JC				Colman, Douglas E.; Letzring, Tera D.; Biesanz, Jeremy C.			Seeing and Feeling Your Way to Accurate Personality Judgments: The Moderating Role of Perceiver Empathic Tendencies	SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE																Colman, Douglas E/P-8178-2018	Colman, Douglas E/0000-0003-3885-9913												1948-5506	1948-5514				SEP	2017	8	7					806	815		10.1177/1948550617691097							WOS:000415151900009						
J	Saini, GK; Pandey, SK; Singh, A; Kalyanaram, G				Saini, Gordhan K.; Pandey, S. K.; Singh, Archana; Kalyanaram, Gurumurthy			Role of Empathy and Customer Orientation in Job Satisfaction and Organizational Commitment	NMIMS MANAGEMENT REVIEW																													0971-1023					AUG	2017	34	2					12	28									WOS:000424622000002						
J	McGinnis, LP; Gao, T; Jun, S; Gentry, J				McGinnis, Lee Phillip; Gao, Tao; Jun, Sunkyu; Gentry, James			Motivational bases for consumers' underdog affection in commerce	JOURNAL OF SERVICE MANAGEMENT																	Gao, Tao (Tony)/0000-0001-6335-9019												1757-5818	1757-5826					2017	28	3					563	592		10.1108/JOSM-02-2016-0052							WOS:000406970000007						
J	Umasuthan, H; Park, OJ; Ryu, JH				Umasuthan, Hamsanandini; Park, Oun-Joung; Ryu, Jong-Hyun			Influence of empathy on hotel guests' emotional service experience	JOURNAL OF SERVICES MARKETING																													0887-6045						2017	31	6					618	635		10.1108/JSM-06-2016-0220							WOS:000414975400011						
