PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Anderson, LA; Whiston, SC								Sexual assault education programs: A meta-analytic examination of their effectiveness								PSYCHOLOGY OF WOMEN QUARTERLY				29	4			374	388		10.1111/j.1471-6402.2005.00237.x				DEC 2005	2005																			0361-6843	1471-6402		WOS:000233203600004		
J	Bar-On, D; Kassem, F								Storytelling as a way to work through intractable conflicts: The German-Jewish experience and its relevance to the Palestinian-Israeli context								JOURNAL OF SOCIAL ISSUES				60	2			289	306		10.1111/j.0022-4537.2004.00112.x				2004	2004																			0022-4537	1540-4560		WOS:000221766600004		
J	Batson, CD; Polycarpou, MP; Harmon-Jones, E; Imhoff, HJ; Mitchener, EC; Bednar, LL; Klein, TR; Highberger, L				Harmon-Jones, Eddie/A-5636-2008	Harmon-Jones, Eddie/0000-0003-4771-3043			Empathy and attitudes: Can feeling for a member of a stigmatized group improve feelings toward the group?								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				72	1			105	118		10.1037/0022-3514.72.1.105				JAN 1997	1997																			0022-3514	1939-1315		WOS:A1997WC93600009	9008376	
J	Batson, CD; Chang, J; Orr, R; Rowland, J								Empathy, attitudes, and action: Can feeling for a member of a stigmatized group motivate one to help the group?								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				28	12			1656	1666		10.1177/014616702237647				DEC 2002	2002																			0146-1672			WOS:000179255300004		
J	Berg, DR; Lonsway, KA; Fitzgerald, LF								Rape prevention education for men: The effectiveness of empathy-induction techniques								JOURNAL OF COLLEGE STUDENT DEVELOPMENT				40	3			219	234						MAY-JUN 1999	1999																			0897-5264	1543-3382		WOS:000080361400002		
J	Bunn, William; Terpstra, Jan								Cultivating Empathy for the Mentally Ill Using Simulated Auditory Hallucinations								ACADEMIC PSYCHIATRY				33	6			457	460		10.1176/appi.ap.33.6.457				NOV-DEC 2009	2009																			1042-9670	1545-7230		WOS:000272074900005	19933888	
J	CHALMERS, JB; TOWNSEND, MAR								THE EFFECTS OF TRAINING IN SOCIAL-PERSPECTIVE TAKING ON SOCIALLY MALADJUSTED GIRLS								CHILD DEVELOPMENT				61	1			178	190						FEB 1990	1990																			0009-3920			WOS:A1990CN05800015	2307038	
J	Chambers, JR; Windschitl, PD								Biases in social comparative judgments: The role of nonmotivated factors in above-average and comparative-optimism effects								PSYCHOLOGICAL BULLETIN				130	5			813	838		10.1037/0033-2909.130.5.813				SEP 2004	2004																			0033-2909	1939-1455		WOS:000223595800007	15367082	
J	CIALDINI, RB; DARBY, BL; VINCENT, JE								TRANSGRESSION AND ALTRUISM - CASE FOR HEDONISM								JOURNAL OF EXPERIMENTAL PSYCHOLOGY				9	6			502	516		10.1016/0022-1031(73)90031-0				1973	1973																			0022-1015			WOS:A1973R338500003		
J	Davis, MH; Conklin, L; Smith, A; Luce, C								Effect of perspective taking on the cognitive representation of persons: A merging of self and other								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				70	4			713	726		10.1037/0022-3514.70.4.713				APR 1996	1996																			0022-3514			WOS:A1996UE80100005	8636894	
J	Dow, Alan W.; Leong, David; Anderson, Aaron; Wenzel, Richard P.		VCU Theater-Med Team		Leong, David/AAE-5620-2019	Leong, David/0000-0001-8539-9062; Dow, Alan/0000-0002-9004-7528			Using theater to teach clinical empathy: A pilot study								JOURNAL OF GENERAL INTERNAL MEDICINE				22	8			1114	1118		10.1007/s11606-007-0224-2				AUG 2007	2007						Annual Meeting of the Midwest-Society-of-General-Internal-MedicineAnnual Meeting of the Midwest-Society-of-General-Internal-Medicine	SEP 28, 2006SEP 28, 2006		Chicago, ILChicago, IL										0884-8734	1525-1497		WOS:000248008100008	17486385	
J	EISENBERG, N; FABES, RA								EMPATHY - CONCEPTUALIZATION, MEASUREMENT, AND RELATION TO PROSOCIAL BEHAVIOR								MOTIVATION AND EMOTION				14	2			131	149		10.1007/BF00991640				JUN 1990	1990																			0146-7239	1573-6644		WOS:A1990FQ56400005		
J	EPSTEIN, N; JACKSON, E								OUTCOME STUDY OF SHORT-TERM COMMUNICATION TRAINING WITH MARRIED-COUPLES								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				46	2			207	212		10.1037/0022-006X.46.2.207				1978	1978																			0022-006X			WOS:A1978ES90600001	649796	
J	Foubert, JD; Newberry, JT				Foubert, John D/P-1799-2015	Foubert, John D/0000-0001-6847-8789			Effects of two versions of an empathy-based rape prevention program on fraternity men's survivor empathy, attitudes, and behavioral intent to commit rape or sexual assault								JOURNAL OF COLLEGE STUDENT DEVELOPMENT				47	2			133	148		10.1353/csd.2006.0016				MAR-APR 2006	2006																			0897-5264	1543-3382		WOS:000236015800001		
J	Garaigordobil, M				Garaigordobil, Maite/T-5553-2019; Garaigordobil, Maite/C-8969-2011	Garaigordobil, Maite/0000-0002-8621-6245			Effects of a psychological intervention on factors of emotional development during adolescence								EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT				20	1			66	80		10.1027/1015-5759.20.1.66				2004	2004																			1015-5759	2151-2426		WOS:000189385100007		
