PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ARKIN, RM; GLEASON, JM; JOHNSTON, S								EFFECT OF PERCEIVED CHOICE, EXPECTED OUTCOME, AND OBSERVED OUTCOME OF AN ACTION ON CAUSAL ATTRIBUTIONS OF ACTORS								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				12	2			151	158		10.1016/0022-1031(76)90066-4				1976	1976																			0022-1031	1096-0465		WOS:A1976BJ34000005		
J	BRADLEY, GW								SELF-SERVING BIASES IN ATTRIBUTION PROCESS - RE-EXAMINATION OF FACT OR FICTION QUESTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				36	1			56	71		10.1037/0022-3514.36.1.56				1978	1978																			0022-3514			WOS:A1978ER77800008		
J	FEATHER, NT; SIMON, JG								ATTRIBUTION OF RESPONSIBILITY AND VALENCE OF OUTCOME IN RELATION TO INITIAL CONFIDENCE AND SUCCESS AND FAILURE OF SELF AND OTHER								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				18	2			173	&		10.1037/h0030845				1971	1971																			0022-3514			WOS:A1971J400800006		
J	FEATHER, NT								ATTRIBUTION OF RESPONSIBILITY AND VALENCE OF SUCCESS AND FAILURE IN RELATION TO INITIAL CONFIDENCE AND TASK PERFORMANCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				13	2			129	&		10.1037/h0028071				1969	1969																			0022-3514			WOS:A1969E394500007		
J	FEDEROFF, NA; HARVEY, JH								FOCUS OF ATTENTION, SELF-ESTEEM, AND ATTRIBUTION OF CAUSALITY								JOURNAL OF RESEARCH IN PERSONALITY				10	3			336	345		10.1016/0092-6566(76)90023-4				1976	1976																			0092-6566			WOS:A1976CC22200009		
J	FRIEZE, I; WEINER, B								CUE UTILIZATION AND ATTRIBUTIONAL JUDGEMENTS FOR SUCCESS AND FAILURE								JOURNAL OF PERSONALITY				39	4			591	&		10.1111/j.1467-6494.1971.tb00065.x				1971	1971																			0022-3506			WOS:A1971L057400010		
J	KUN, A; WEINER, B					Hall, Anna Maria Kun/0000-0002-4548-776X			NECESSARY VERSUS SUFFICIENT CAUSAL SCHEMATA FOR SUCCESS AND FAILURE								JOURNAL OF RESEARCH IN PERSONALITY				7	3			197	207		10.1016/0092-6566(73)90036-6				1973	1973																			0092-6566			WOS:A1973S103300001		
J	MCMAHAN, ID								RELATIONSHIPS BETWEEN CAUSAL ATTRIBUTIONS AND EXPECTANCY OF SUCCESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				28	1			108	114		10.1037/h0035474				1973	1973																			0022-3514			WOS:A1973Q904800015		
J	MILLER, DT								EGO INVOLVEMENT AND ATTRIBUTIONS FOR SUCCESS AND FAILURE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	5			901	906						1976	1976																			0022-3514			WOS:A1976CP08000018		
J	MILLER, DT; ROSS, M								SELF-SERVING BIASES IN ATTRIBUTION OF CAUSALITY - FACT OR FICTION								PSYCHOLOGICAL BULLETIN				82	2			213	225		10.1037/h0076486				1975	1975																			0033-2909			WOS:A1975W045500013		
J	ROSENFIELD, D; STEPHAN, WG								SEX-DIFFERENCES IN ATTRIBUTIONS FOR SEX-TYPED TASKS								JOURNAL OF PERSONALITY				46	2			244	259		10.1111/j.1467-6494.1978.tb00178.x				1978	1978																			0022-3506			WOS:A1978FG91200004		
J	ROSS, LD								PROBLEMS IN INTERPRETATION OF SELF-SERVING ASYMMETRIES IN CAUSAL ATTRIBUTION - REPLY								SOCIOMETRY				40	2			112	114		10.2307/3033513				1977	1977																						WOS:A1977DN34700002		
J	SIMON, JG; FEATHER, NT								CAUSAL ATTRIBUTIONS FOR SUCCESS AND FAILURE AT UNIVERSITY EXAMINATIONS								JOURNAL OF EDUCATIONAL PSYCHOLOGY				64	1			46	56		10.1037/h0034083				1973	1973																			0022-0663			WOS:A1973O971900008		
J	SNYDER, ML; STEPHAN, WG; ROSENFIELD, D								EGOTISM AND ATTRIBUTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				33	4			435	441		10.1037/0022-3514.33.4.435				1976	1976																			0022-3514			WOS:A1976BM45900009	1271219	
J	STEPHAN, WG; ROSENFIELD, D; STEPHAN, C								EGOTISM IN MALES AND FEMALES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	6			1161	1167		10.1037/0022-3514.34.6.1161				1976	1976																			0022-3514			WOS:A1976CS71900017		
J	STEVENS, L; JONES, EE								DEFENSIVE ATTRIBUTION AND KELLEY CUBE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	5			809	820						1976	1976																			0022-3514			WOS:A1976CP08000008		
J	STREUFERT, S; STREUFER.SC								EFFECTS OF CONCEPTUAL STRUCTURE FAILURE AND SUCCESS ON ATTRIBUTION OF CAUSALITY AND INTERPERSONAL ATTITUDES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				11	2			138	+		10.1037/h0027047				1969	1969																			0022-3514	1939-1315		WOS:A1969C802300008		
J	WOLOSIN, RJ; SHERMAN, SJ; TILL, A								EFFECTS OF COOPERATION AND COMPETITION ON RESPONSIBILITY ATTRIBUTION AFTER SUCCESS AND FAILURE								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				9	3			220	235		10.1016/0022-1031(73)90011-5				1973	1973																			0022-1031			WOS:A1973P625600003		
