PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Lawanto, O; Santoso, HB; Liu, Y				Lawanto, Oenardi; Santoso, Harry B.; Liu, Yang			Understanding of the Relationship Between Interest and Expectancy for Success in Engineering Design Activity in Grades 9-12	EDUCATIONAL TECHNOLOGY & SOCIETY																Santoso, Harry B./M-6069-2019	Santoso, Harry B./0000-0003-0459-0493												1436-4522					JAN	2012	15	1					152	161									WOS:000301109100014						
J	Nathawat, SS; Singh, R; Singh, B				Nathawat, SS; Singh, R; Singh, B			The effect of need for achievement on attributional style.	JOURNAL OF SOCIAL PSYCHOLOGY																													0022-4545	1940-1183				FEB	1997	137	1					55	62		10.1080/00224549709595413							WOS:A1997WP04700006						
J	ELLIOTT, GC				ELLIOTT, GC			SELF-SERVING ATTRIBUTIONS IN THE FACE OF REALITY - THE EFFECT OF TASK OUTCOME AND POTENTIAL CAUSES ON SELF OTHER ATTRIBUTIONS	HUMAN RELATIONS																													0018-7267	1741-282X				NOV	1989	42	11					1015	1032		10.1177/001872678904201104							WOS:A1989CD09200004						
J	SINGH, R; NATHAWAT, SS				SINGH, R; NATHAWAT, SS			EFFECT OF PROLONGED DEPRIVATION ON ATTRIBUTIONAL STYLE	JOURNAL OF SOCIAL PSYCHOLOGY																													0022-4545	1940-1183				AUG	1989	129	4					443	450		10.1080/00224545.1989.9712062							WOS:A1989AQ98200002	2796311					
J	HAGAN, ML; MEDWAY, FJ				HAGAN, ML; MEDWAY, FJ			LEARNED HELPLESSNESS VERSUS EGOTISM IN FEMALES - A DEVELOPMENTAL COMPARISON	JOURNAL OF EDUCATIONAL RESEARCH																													0022-0671	1940-0675				JAN-FEB	1989	82	3					178	186		10.1080/00220671.1989.10885888							WOS:A1989U085900007						
J	VARMA, P; KRISHNAN, L				VARMA, P; KRISHNAN, L			THE EFFECT OF COGNITIVE-COMPLEXITY AND NATURE OF THE OUTCOME ON CAUSAL ATTRIBUTION	JOURNAL OF SOCIAL PSYCHOLOGY																													0022-4545	1940-1183				OCT	1986	126	5					639	647		10.1080/00224545.1986.9713637							WOS:A1986F568200009						
J	CRITTENDEN, KS; WILEY, MG				CRITTENDEN, KS; WILEY, MG			WHEN EGOTISM IS NORMATIVE - SELF-PRESENTATIONAL NORMS GUIDING ATTRIBUTIONS	SOCIAL PSYCHOLOGY QUARTERLY																													0190-2725	1939-8999					1985	48	4					360	365		10.2307/2786697							WOS:A1985AWF8100007						
J	RITTENHOUSE, J; STEPHAN, WG; LEVINE, E				RITTENHOUSE, J; STEPHAN, WG; LEVINE, E			PEER ATTRIBUTIONS AND ACTION PLANS FOR UNDERACHIEVEMENT - IMPLICATIONS FOR PEER COUNSELING	PERSONNEL AND GUIDANCE JOURNAL																													0031-5737						1984	62	7					391	397		10.1111/j.2164-4918.1984.tb00234.x							WOS:A1984SG18000004						
J	KRAHE, B				KRAHE, B			THE SELF-SERVING BIAS IN ATTRIBUTION RESEARCH - THEORETICAL BASES AND EMPIRICAL-FINDINGS	PSYCHOLOGISCHE RUNDSCHAU																													0033-3042	2190-6238					1984	35	2					79	97									WOS:A1984SL78900003						
J	CRITTENDEN, KS				CRITTENDEN, KS			SOCIOLOGICAL-ASPECTS OF ATTRIBUTION	ANNUAL REVIEW OF SOCIOLOGY																													0360-0572						1983	9						425	446		10.1146/annurev.so.09.080183.002233							WOS:A1983RD84500020						
J	FEATHER, NT				FEATHER, NT			CAUSAL ATTRIBUTIONS FOR GOOD AND BAD OUTCOMES IN ACHIEVEMENT AND AFFILIATION SITUATIONS	AUSTRALIAN JOURNAL OF PSYCHOLOGY																													0004-9530	1742-9536					1983	35	1					37	48		10.1080/00049538308255301							WOS:A1983RB23100004						
J	EFFLER, M				EFFLER, M			DIFFERENCES IN THE CAUSAL ATTRIBUTIONS OF ACTORS AND OBSERVERS - THE APPLICATION OF THE JONES-NISBETT HYPOTHESIS	ZEITSCHRIFT FUR SOZIALPSYCHOLOGIE																													0044-3514						1983	14	3					229	240									WOS:A1983RJ72500002						
J	TYLER, TR; DEVINITZ, V				TYLER, TR; DEVINITZ, V			SELF-SERVING BIAS IN THE ATTRIBUTION OF RESPONSIBILITY - COGNITIVE VERSUS MOTIVATIONAL EXPLANATIONS	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY																													0022-1031	1096-0465					1981	17	4					408	416		10.1016/0022-1031(81)90047-0							WOS:A1981LY73400005						
J	STEPHAN, WG; GOLLWITZER, PM				STEPHAN, WG; GOLLWITZER, PM			AFFECT AS A MEDIATOR OF ATTRIBUTIONAL EGOTISM	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY																													0022-1031	1096-0465					1981	17	5					443	458		10.1016/0022-1031(81)90033-0							WOS:A1981ME77200001						
J	MARKS, G; MILLER, N; MARUYAMA, G				MARKS, G; MILLER, N; MARUYAMA, G			EFFECT OF TARGETS PHYSICAL ATTRACTIVENESS ON ASSUMPTIONS OF SIMILARITY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514	1939-1315					1981	41	1					198	206		10.1037/0022-3514.41.1.198							WOS:A1981LZ23600015						
J	BERNSTEIN, WM; SPENCE, JT; HELMREICH, RL; FOUSHEE, HC; SNELL, WE				BERNSTEIN, WM; SPENCE, JT; HELMREICH, RL; FOUSHEE, HC; SNELL, WE			EGOTISM AND THE AGENTIC PERSONALITY	REPRESENTATIVE RESEARCH IN SOCIAL PSYCHOLOGY																													0034-4907						1980	11	2					115	121									WOS:A1980PA98700004						
J	BERNSTEIN, WM; STEPHAN, WG; DAVIS, MH				BERNSTEIN, WM; STEPHAN, WG; DAVIS, MH			EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																	Bernstein, William/0000-0001-9311-5242												0022-3514	1939-1315					1979	37	10					1810	1821									WOS:A1979HU53800016						
