PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Hart, W; Kinrade, C; Tortoriello, GK; Richardson, K; Breeden, CJ				Hart, William; Kinrade, Charlotte; Tortoriello, Gregory K.; Richardson, Kyle; Breeden, Christopher J.			Identifying with the "bad" guy: A novel account for apparent moral-judgment deficiencies in antagonistic personality	PERSONALITY AND INDIVIDUAL DIFFERENCES																													0191-8869					NOV 1	2020	166								110161	10.1016/j.paid.2020.110161							WOS:000551465100006						
J	Jones, TM; Bottoms, BL; Stevenson, MC				Jones, Tayler M.; Bottoms, Bette L.; Stevenson, Margaret C.			Child Victim Empathy Mediates the Influence of Jurors' Sexual Abuse Experiences on Child Sexual Abuse Case Judgments: Meta-Analyses	PSYCHOLOGY PUBLIC POLICY AND LAW																													1076-8971	1939-1528				AUG	2020	26	3					312	332		10.1037/law0000231							WOS:000555468400007						
J	Johnson, JD; Edwards, W; Malamuth, N; Lecci, L				Johnson, James D.; Edwards, Wren; Malamuth, Neil; Lecci, Len			"Feeling my Sister's Pain": Perceived Victim Suffering Moderates the Impact of Sexualized Music Videos on Fijian Women's Responses to Men's Intimate Partner Violence against Women	SEX ROLES																													0360-0025	1573-2762				OCT	2020	83	7-8					510	522		10.1007/s11199-020-01120-6		FEB 2020					WOS:000511080100001						
J	Yilmaz, H				Yilmaz, Hasan			The Mediating Role of Selfishness in the Relationship between Empathy and Narcissism	PAMUKKALE UNIVERSITESI EGITIM FAKULTESI DERGISI-PAMUKKALE UNIVERSITY JOURNAL OF EDUCATION																													1301-0085	1309-0275				JAN	2020		48					37	60		10.9779/pauefd.526742							WOS:000506040000003						
J	Keena, L; Krieger-Sample, L				Keena, Linda; Krieger-Sample, Laura			Empathy-Focused Learning: Teaching Criminal Justice Students to Care	AMERICAN JOURNAL OF CRIMINAL JUSTICE																													1066-2316	1936-1351				JUN	2018	43	2					389	410		10.1007/s12103-017-9385-7							WOS:000435381900016						
J	Winter, B; Daguna, J; Matlock, T				Winter, Bodo; Daguna, Joshua; Matlock, Teenie			Metaphor-enriched social cognition and spatial bias in the courtroom	METAPHOR AND THE SOCIAL WORLD																Winter, Bodo/K-6975-2018	Winter, Bodo/0000-0001-6036-6774												2210-4070	2210-4097				MAY 7	2018	8	1					81	99		10.1075/msw.17001.win							WOS:000435090200005						
J	Peterson, JK; Silver, RC				Peterson, Jillian K.; Silver, Roxane Cohen			Developing an Understanding of Victims and Violent Offenders: The Impact of Fostering Empathy	JOURNAL OF INTERPERSONAL VIOLENCE																													0886-2605	1552-6518				FEB	2017	32	3					399	422		10.1177/0886260515586361							WOS:000398893600005	26141350					
J	Johnson, SL; Hritz, AC; Royer, CE; Blume, JH				Johnson, Sheri Lynn; Hritz, Amelia Courtney; Royer, Caisa Elizabeth; Blume, John H.			WHEN EMPATHY BITES BACK: CAUTIONARY TALES FROM NEUROSCIENCE FOR CAPITAL SENTENCING	FORDHAM LAW REVIEW																													0015-704X					NOV	2016	85	2					573	598									WOS:000387999800009						
J	Najdowski, CJ; Bottoms, BL; Goff, PA				Najdowski, Cynthia J.; Bottoms, Bette L.; Goff, Phillip Atiba			Stereotype Threat and Racial Differences in Citizens' Experiences of Police Encounters	LAW AND HUMAN BEHAVIOR																													0147-7307	1573-661X				OCT	2015	39	5					463	477		10.1037/lhb0000140							WOS:000361231500004	26030449					
J	Skorinko, JL; Laurent, S; Bountress, K; Nyein, KP; Kuckuck, D				Skorinko, Jeanine L.; Laurent, Sean; Bountress, Kaitlin; Nyein, Kyi Phyu; Kuckuck, Daniel			Effects of perspective taking on courtroom decisions	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																Laurent, Sean/L-3092-2019	Laurent, Sean/0000-0003-0130-7867												0021-9029	1559-1816				APR	2014	44	4					303	318		10.1111/jasp.12222							WOS:000333703700006						
