PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABRAMSON, LY; SELIGMAN, MEP; TEASDALE, JD								LEARNED HELPLESSNESS IN HUMANS - CRITIQUE AND REFORMULATION								JOURNAL OF ABNORMAL PSYCHOLOGY				87	1			49	74		10.1037/0021-843X.87.1.49				1978	1978																			0021-843X	1939-1846		WOS:A1978EX28700005	649856	
J	BRADLEY, GW								SELF-SERVING BIASES IN ATTRIBUTION PROCESS - RE-EXAMINATION OF FACT OR FICTION QUESTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				36	1			56	71		10.1037/0022-3514.36.1.56				1978	1978																			0022-3514			WOS:A1978ER77800008		
J	DUNCAN, OD								PATH ANALYSIS - SOCIOLOGICAL EXAMPLES								AMERICAN JOURNAL OF SOCIOLOGY				72	1			1	16		10.1086/224256				1966	1966																			0002-9602			WOS:A1966ZA47800001		
J	FEATHER, NT								ATTRIBUTION OF RESPONSIBILITY AND VALENCE OF SUCCESS AND FAILURE IN RELATION TO INITIAL CONFIDENCE AND TASK PERFORMANCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				13	2			129	&		10.1037/h0028071				1969	1969																			0022-3514			WOS:A1969E394500007		
J	FRIEZE, I; WEINER, B								CUE UTILIZATION AND ATTRIBUTIONAL JUDGEMENTS FOR SUCCESS AND FAILURE								JOURNAL OF PERSONALITY				39	4			591	&		10.1111/j.1467-6494.1971.tb00065.x				1971	1971																			0022-3506			WOS:A1971L057400010		
J	MCMAHAN, ID								RELATIONSHIPS BETWEEN CAUSAL ATTRIBUTIONS AND EXPECTANCY OF SUCCESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				28	1			108	114		10.1037/h0035474				1973	1973																			0022-3514			WOS:A1973Q904800015		
J	MILLER, DT; ROSS, M								SELF-SERVING BIASES IN ATTRIBUTION OF CAUSALITY - FACT OR FICTION								PSYCHOLOGICAL BULLETIN				82	2			213	225		10.1037/h0076486				1975	1975																			0033-2909			WOS:A1975W045500013		
J	SIMON, JG; FEATHER, NT								CAUSAL ATTRIBUTIONS FOR SUCCESS AND FAILURE AT UNIVERSITY EXAMINATIONS								JOURNAL OF EDUCATIONAL PSYCHOLOGY				64	1			46	56		10.1037/h0034083				1973	1973																			0022-0663			WOS:A1973O971900008		
J	STEPHAN, WG; ROSENFIELD, D; STEPHAN, C								EGOTISM IN MALES AND FEMALES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	6			1161	1167		10.1037/0022-3514.34.6.1161				1976	1976																			0022-3514			WOS:A1976CS71900017		
J	STEPHAN, WG; BERNSTEIN, WM; STEPHAN, C; DAVIS, MH								ATTRIBUTIONS FOR ACHIEVEMENT - EGOTISM VS EXPECTANCY CONFIRMATION								US SOCIAL PSYCHOLOGY				42	1			5	17		10.2307/3033869				1979	1979																			0147-829X			WOS:A1979GN55500001		
J	VALLE, VA; FRIEZE, IH					Frieze, Irene/0000-0001-8399-9996			STABILITY OF CAUSAL ATTRIBUTIONS AS A MEDIATOR IN CHANGING EXPECTATIONS FOR SUCCESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				33	5			579	587		10.1037/0022-3514.33.5.579				1976	1976																			0022-3514			WOS:A1976BR49900011		
J	Wright, S								Correlation and causation Part I. Method of path coefficients								JOURNAL OF AGRICULTURAL RESEARCH				20				0557	0585						OCT-MAR 1920	1920																			0095-9758			WOS:000188347400034		
