PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABRAMSON, LY; SELIGMAN, MEP; TEASDALE, JD								LEARNED HELPLESSNESS IN HUMANS - CRITIQUE AND REFORMULATION								JOURNAL OF ABNORMAL PSYCHOLOGY				87	1			49	74		10.1037/0021-843X.87.1.49				1978	1978																			0021-843X	1939-1846		WOS:A1978EX28700005	649856	
J	AVERILL, JR; ROSENN, M								VIGILANT AND NONVIGILANT COPING STRATEGIES AND PSYCHOPHYSIOLOGICAL STRESS REACTIONS DURING ANTICIPATION OF ELECTRIC SHOCK								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				23	1			128	&		10.1037/h0032758				1972	1972																			0022-3514			WOS:A1972N074800018	5043002	
J	AVERILL, JR								PERSONAL CONTROL OVER AVERSIVE STIMULI AND ITS RELATIONSHIP TO STRESS								PSYCHOLOGICAL BULLETIN				80	4			286	303		10.1037/h0034845				1973	1973																			0033-2909			WOS:A1973R005000002		
J	BANDLER, RJ; MADARAS, GR; BEM, DJ								SELF-OBSERVATION AS A SOURCE OF PAIN PERCEPTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				9	3			205	&		10.1037/h0025894				1968	1968																			0022-3514			WOS:A1968B531300001	5691157	
J	BRADY, JV; PORTER, RW; CONRAD, DG; MASON, JW								AVOIDANCE-BEHAVIOR AND THE DEVELOPMENT OF GASTRODUODENAL ULCERS								JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR				1	1			69	72		10.1901/jeab.1958.1-69				1958	1958																			0022-5002			WOS:A1958CAN5800009	13872361	
J	FEATHER, NT								RELATIONSHIP OF PERSISTENCE AT A TASK TO EXPECTATION OF SUCCESS AND ACHIEVEMENT RELATED MOTIVES								JOURNAL OF ABNORMAL AND SOCIAL PSYCHOLOGY				63	3			552	&		10.1037/h0045671				1961	1961																						WOS:A19610597900008	13891927	
J	GEER J H; DAVISON G C; GATCHEL R I								REDUCTION OF STRESS IN HUMANS THROUGH NONVERIDICAL PERCEIVED CONTROL OF AVERSIVE STIMULATION								Journal of Personality and Social Psychology				16	4			731	738		10.1037/h0030014				1970	1970																			0022-3514			BCI:BCI197152057598	5489508	
J	GEER, JH; MAISEL, E								EVALUATING EFFECTS OF PREDICTION-CONTROL CONFOUND								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				23	3			314	&		10.1037/h0033122				1972	1972																			0022-3514			WOS:A1972N472900004	5070315	
J	GLASS, DC; SINGER, JE; FRIEDMAN, LN								PSYCHIC COST OF ADAPTATION TO AN ENVIRONMENTAL STRESSOR								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				12	3			200	&		10.1037/h0027629				1969	1969																			0022-3514			WOS:A1969D684000004	5803831	
J	HANUSA, BH; SCHULZ, R								ATTRIBUTIONAL MEDIATORS OF LEARNED HELPLESSNESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				35	8			602	611		10.1037/0022-3514.35.8.602				1977	1977																			0022-3514			WOS:A1977DT38300007		
J	HOUSTON, BK								CONTROL OVER STRESS, LOCUS OF CONTROL, AND RESPONSE TO STRESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				21	2			249	&		10.1037/h0032328				1972	1972																			0022-3514			WOS:A1972L776400015	5010407	
J	WEISS, JM								EFFECTS OF COPING BEHAVIOR IN DIFFERENT WARNING SIGNAL CONDITIONS ON STRESS PATHOLOGY IN RATS								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				77	1			1	&		10.1037/h0031583				1971	1971																			0021-9940			WOS:A1971K610700001	5166076	
J	WEISS, JM								EFFECTS OF PUNISHING COPING RESPONSE (CONFLICT) ON STRESS PATHOLOGY IN RATS								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				77	1			14	&		10.1037/h0031582				1971	1971																			0021-9940			WOS:A1971K610700002	5166074	
J	WEISS, JM								EFFECTS OF COPING RESPONSES ON STRESS								JOURNAL OF COMPARATIVE AND PHYSIOLOGICAL PSYCHOLOGY				65	2			251	&		10.1037/h0025562				1968	1968																			0021-9940			WOS:A1968A974100011	5668311	
J	WORTMAN, CB; PANCIERA, L; SHUSTERMAN, L; HIBSCHER, J								ATTRIBUTIONS OF CAUSALITY AND REACTIONS TO UNCONTROLLABLE OUTCOMES								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				12	3			301	316		10.1016/0022-1031(76)90060-3				1976	1976																			0022-1031			WOS:A1976BT84400007		
