PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABRAMSON, LY; SELIGMAN, MEP; TEASDALE, JD								LEARNED HELPLESSNESS IN HUMANS - CRITIQUE AND REFORMULATION								JOURNAL OF ABNORMAL PSYCHOLOGY				87	1			49	74		10.1037/0021-843X.87.1.49				1978	1978																			0021-843X	1939-1846		WOS:A1978EX28700005	649856	
J	BERNSTEIN, WM; STEPHAN, WG; DAVIS, MH					Bernstein, William/0000-0001-9311-5242			EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				37	10			1810	1821						1979	1979																			0022-3514	1939-1315		WOS:A1979HU53800016		
J	BRADLEY, GW								SELF-SERVING BIASES IN ATTRIBUTION PROCESS - RE-EXAMINATION OF FACT OR FICTION QUESTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				36	1			56	71		10.1037/0022-3514.36.1.56				1978	1978																			0022-3514			WOS:A1978ER77800008		
J	FEATHER, NT; SIMON, JG								ATTRIBUTION OF RESPONSIBILITY AND VALENCE OF OUTCOME IN RELATION TO INITIAL CONFIDENCE AND SUCCESS AND FAILURE OF SELF AND OTHER								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				18	2			173	&		10.1037/h0030845				1971	1971																			0022-3514			WOS:A1971J400800006		
J	FITCH, G								EFFECTS OF SELF-ESTEEM, PERCEIVED PERFORMANCE, AND CHOICE ON CAUSAL ATTRIBUTIONS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				16	2			311	&		10.1037/h0029847				1970	1970																			0022-3514			WOS:A1970H653100017	5479133	
J	FRIEZE, I; WEINER, B								CUE UTILIZATION AND ATTRIBUTIONAL JUDGEMENTS FOR SUCCESS AND FAILURE								JOURNAL OF PERSONALITY				39	4			591	&		10.1111/j.1467-6494.1971.tb00065.x				1971	1971																			0022-3506			WOS:A1971L057400010		
J	MCMAHAN, ID								RELATIONSHIPS BETWEEN CAUSAL ATTRIBUTIONS AND EXPECTANCY OF SUCCESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				28	1			108	114		10.1037/h0035474				1973	1973																			0022-3514			WOS:A1973Q904800015		
J	MILLER, DT								EGO INVOLVEMENT AND ATTRIBUTIONS FOR SUCCESS AND FAILURE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	5			901	906						1976	1976																			0022-3514			WOS:A1976CP08000018		
J	MILLER, DT; ROSS, M								SELF-SERVING BIASES IN ATTRIBUTION OF CAUSALITY - FACT OR FICTION								PSYCHOLOGICAL BULLETIN				82	2			213	225		10.1037/h0076486				1975	1975																			0033-2909			WOS:A1975W045500013		
J	ROSENFIELD, D; STEPHAN, WG								SEX-DIFFERENCES IN ATTRIBUTIONS FOR SEX-TYPED TASKS								JOURNAL OF PERSONALITY				46	2			244	259		10.1111/j.1467-6494.1978.tb00178.x				1978	1978																			0022-3506			WOS:A1978FG91200004		
J	SIMON, JG; FEATHER, NT								CAUSAL ATTRIBUTIONS FOR SUCCESS AND FAILURE AT UNIVERSITY EXAMINATIONS								JOURNAL OF EDUCATIONAL PSYCHOLOGY				64	1			46	56		10.1037/h0034083				1973	1973																			0022-0663			WOS:A1973O971900008		
J	SNYDER, ML; STEPHAN, WG; ROSENFIELD, D								EGOTISM AND ATTRIBUTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				33	4			435	441		10.1037/0022-3514.33.4.435				1976	1976																			0022-3514			WOS:A1976BM45900009	1271219	
J	STEPHAN, WG; ROSENFIELD, D; STEPHAN, C								EGOTISM IN MALES AND FEMALES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				34	6			1161	1167		10.1037/0022-3514.34.6.1161				1976	1976																			0022-3514			WOS:A1976CS71900017		
