PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ARCHER, RL; FOUSHEE, HC; DAVIS, MH								EMOTIONAL EMPATHY IN A COURTROOM SIMULATION - PERSON-SITUATION INTERACTION								JOURNAL OF APPLIED SOCIAL PSYCHOLOGY				9	3			275	291		10.1111/j.1559-1816.1979.tb02711.x				1979	1979																			0021-9029			WOS:A1979HM23300006		
J	CARLSON, JE; TIMM, NH								ANALYSIS OF NONORTHOGONAL FIXED-EFFECTS DESIGNS								PSYCHOLOGICAL BULLETIN				81	9			563	570		10.1037/h0036936				1974	1974																			0033-2909			WOS:A1974U083000004		
J	COKE, JS; BATSON, CD; MCDAVIS, K								EMPATHIC MEDIATION OF HELPING - 2-STAGE MODEL								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				36	7			752	766		10.1037/0022-3514.36.7.752				1978	1978																			0022-3514			WOS:A1978FK38700009		
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	FENIGSTEIN, A								SELF-CONSCIOUSNESS, SELF-ATTENTION, AND SOCIAL-INTERACTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				37	1			75	86		10.1037/0022-3514.37.1.75				1979	1979																			0022-3514			WOS:A1979GJ74000007		
J	FESHBACH, ND								EMPATHY IN CHILDREN - SOME THEORETICAL AND EMPIRICAL CONSIDERATIONS								COUNSELING PSYCHOLOGIST				5	2			25	30		10.1177/001100007500500207				1975	1975																			0011-0000			WOS:A1975AC68700007		
J	KREBS, D								EMPATHY AND ALTRUISM								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				32	6			1134	1146		10.1037/0022-3514.32.6.1134				1975	1975																			0022-3514			WOS:A1975AZ92700025	1214217	
J	MEHRABIAN, A; EPSTEIN, N								MEASURE OF EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY				40	4			525	543		10.1111/j.1467-6494.1972.tb00078.x				1972	1972																			0022-3506	1467-6494		WOS:A1972O315600003	4642390	
J	ORNE, MT								ON THE SOCIAL-PSYCHOLOGY OF THE PSYCHOLOGICAL EXPERIMENT - WITH PARTICULAR REFERENCE TO DEMAND CHARACTERISTICS AND THEIR IMPLICATIONS								AMERICAN PSYCHOLOGIST				17	11			776	783		10.1037/h0043424				1962	1962																			0003-066X			WOS:A1962CCK3800005		
J	OVERALL, JE; SPIEGEL, DK; COHEN, J								EQUIVALENCE OF ORTHOGONAL AND NONORTHOGONAL ANALYSIS OF VARIANCE								PSYCHOLOGICAL BULLETIN				82	2			182	186		10.1037/h0076381				1975	1975																			0033-2909			WOS:A1975W045500008		
J	REGAN, DT; TOTTEN, J								EMPATHY AND ATTRIBUTION - TURNING OBSERVERS INTO ACTORS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				32	5			850	856		10.1037/0022-3514.32.5.850				1975	1975																			0022-3514			WOS:A1975AW34500010	1185516	
J	SCHEIER, MF; CARVER, CS				Carver, Charles S./F-6567-2011	carver, charles/0000-0002-3688-8545			SELF-FOCUSED ATTENTION AND EXPERIENCE OF EMOTION - ATTRACTION, REPULSION, ELATION, AND DEPRESSION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				35	9			625	636		10.1037/0022-3514.35.9.625				1977	1977																			0022-3514			WOS:A1977DW93400002	909041	
J	SCHEIER, MF; BUSS, AH; BUSS, DM								SELF-CONSCIOUSNESS, SELF-REPORT OF AGGRESSIVENESS, AND AGGRESSION								JOURNAL OF RESEARCH IN PERSONALITY				12	2			133	140		10.1016/0092-6566(78)90089-2				1978	1978																			0092-6566			WOS:A1978FD65400001		
J	SCHLENKER, BR								SELF-PRESENTATION - MANAGING IMPRESSION OF CONSISTENCY WHEN REALITY INTERFERES WITH SELF-ENHANCEMENT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				32	6			1030	1037		10.1037/0022-3514.32.6.1030				1975	1975																			0022-3514			WOS:A1975AZ92700011	1214212	
