PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Bayram, AB; Holmes, M				Bayram, A. Burcu; Holmes, Marcus			Feeling their pain: affective empathy and public preferences for foreign development aid	EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS																													1354-0661	1460-3713				SEP	2020	26	3					820	850	1354066119890915	10.1177/1354066119890915		DEC 2019					WOS:000506777200001						
J	Pozzi, M; Meneghini, AM; Marta, E				Pozzi, Maura; Meneghini, Anna Maria; Marta, Elena			DOES VOLUNTEERING AT EVENTS MOTIVATE REPEAT ENGAGEMENT IN VOLUNTARY SERVICE? THE CASE OF YOUNG ADULT VOLUNTEERS AT EXPO MILAN 2015	TPM-TESTING PSYCHOMETRICS METHODOLOGY IN APPLIED PSYCHOLOGY																	MENEGHINI, Anna Maria/0000-0002-0685-4360												1972-6325					DEC	2019	26	4			SI		541	560		10.4473/TPM26.4.4							WOS:000510663600005						
J	Hwang, K; Lee, B				Hwang, Kumju; Lee, Bora			Pride, mindfulness, public self-awareness, affective satisfaction, and customer citizenship behaviour among green restaurant customers	INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT																													0278-4319	1873-4693				OCT	2019	83						169	179		10.1016/j.ijhm.2019.05.009							WOS:000494886300021						
J	Gonzalez-Rodriguez, MR; Diaz-Fernandez, MC; Biagio, S				Rosario Gonzalez-Rodriguez, M.; Carmen Diaz-Fernandez, M.; Biagio, Simonetti			The perception of socially and environmentally responsible practices based on values and cultural environment from a customer perspective	JOURNAL OF CLEANER PRODUCTION																Simonetti, Biagio/AAH-6572-2019; Gonzalez-Rodriguez, Rosario/K-7545-2012	Simonetti, Biagio/0000-0002-2540-7830; Gonzalez-Rodriguez, Rosario/0000-0002-6484-4128												0959-6526	1879-1786				APR 10	2019	216						88	98		10.1016/j.jclepro.2019.01.189							WOS:000460709800009						
J	Sun, BH; Luo, ZB; Zhang, WW; Li, WJ; Li, XY				Sun, Binghai; Luo, Zhenbing; Zhang, Wenwen; Li, Weijian; Li, Xinyu			Age-related differences in affective and cognitive empathy: self-report and performance-based evidence	AGING NEUROPSYCHOLOGY AND COGNITION																	Li, Xinyu/0000-0002-3828-0971												1382-5585	1744-4128					2018	25	5					655	672		10.1080/13825585.2017.1360835							WOS:000441990300003	28774223					
J	Goyal, N; Wice, M; Kinsbourne, M; Castano, E				Goyal, Namrata; Wice, Matthew; Kinsbourne, Marcel; Castano, Emanuele			A Picture Is Worth a Thousand Words The Influence of Visuospatial and Verbal Cognitive Styles on Empathy and Willingness to Help	SOCIAL PSYCHOLOGY																Castano, Emanuele/C-8757-2018	Castano, Emanuele/0000-0003-1709-590X												1864-9335	2151-2590				NOV	2017	48	6					372	379		10.1027/1864-9335/a000318							WOS:000416105200005						
J	Han, XC; He, K; Wu, B; Shi, ZH; Liu, Y; Luo, SY; Wei, KL; Wu, XH; Han, SH				Han, Xiaochun; He, Kang; Wu, Bing; Shi, Zhenhao; Liu, Yi; Luo, Siyang; Wei, Kunlin; Wu, Xinhuai; Han, Shihui			Empathy for pain motivates actions without altruistic effects: evidence of motor dynamics and brain activity	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE																	Shi, Zhenhao/0000-0001-5697-2034												1749-5016	1749-5024				JUN	2017	12	6					893	901		10.1093/scan/nsx016							WOS:000405696100003	28338790					
J	Peterson, JK; Silver, RC				Peterson, Jillian K.; Silver, Roxane Cohen			Developing an Understanding of Victims and Violent Offenders: The Impact of Fostering Empathy	JOURNAL OF INTERPERSONAL VIOLENCE																													0886-2605	1552-6518				FEB	2017	32	3					399	422		10.1177/0886260515586361							WOS:000398893600005	26141350					
J	Akestam, N; Rosengren, S; Dahlen, M				Akestam, Nina; Rosengren, Sara; Dahlen, Micael			Think about it - can portrayals of homosexuality in advertising prime consumer-perceived social connectedness and empathy?	EUROPEAN JOURNAL OF MARKETING																	Rosengren, Sara/0000-0003-4358-8919												0309-0566	1758-7123					2017	51	1					82	98		10.1108/EJM-11-2015-0765							WOS:000396718400005						
J	Hortensius, R; Schutter, DJLG; de Gelder, B				Hortensius, Ruud; Schutter, Dennis J. L. G.; de Gelder, Beatrice			Personal distress and the influence of bystanders on responding to an emergency	COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE																	Hortensius, Ruud/0000-0002-5279-6202												1530-7026	1531-135X				AUG	2016	16	4					672	688		10.3758/s13415-016-0423-6							WOS:000380116000009	27126708					
