PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B		YarhiMilo, K				YarhiMilo, K		Jimmy Carter and the Crises of the 1970s	WHO FIGHTS FOR REPUTATION: THE PSYCHOLOGY OF LEADERS IN INTERNATIONAL CONFLICT	Princeton Studies in International History and Politics																														978-0-691-18128-8; 978-1-400-88998-3; 978-0-691-18034-2				2018							121	+									WOS:000483400700006						
J	Philip, S				Senior, Philip			Electoral impact of televised leaders' debates on Australian federal elections	AUSTRALIAN JOURNAL OF POLITICAL SCIENCE																													1036-1146	1363-030X					2008	43	3					443	464		10.1080/10361140802267241							WOS:000258773300004						
J	Ziegler, R; Arnold, F; Diehl, M				Ziegler, Rene; Arnold, Friederike; Diehl, Michael			Communication modality and biased processing: A study on the occasion of the German 2002 election TV debate	BASIC AND APPLIED SOCIAL PSYCHOLOGY																													0197-3533					JUN	2007	29	2					175	184		10.1080/01973530701332237							WOS:000247258700008						
J	Sun, T; Yuan, V; Payne, JG; Zhong, B				Sun, T; Yuan, V; Payne, JG; Zhong, B			Leadership attributes salient to Chinese local voters - Correlates of voting intentions among Chinese constituents	AMERICAN BEHAVIORAL SCIENTIST																Zhong, Bu/ABA-7739-2020; Zhong, Bu/AAW-6815-2020	Zhong, Bu/0000-0002-3386-9234												0002-7642					DEC	2005	49	4					616	628		10.1177/0002764205280204							WOS:000236197200010						
J	Munro, GD; Ditto, PH; Lockhart, LK; Fagerlin, A; Gready, M; Peterson, E				Munro, GD; Ditto, PH; Lockhart, LK; Fagerlin, A; Gready, M; Peterson, E			Biased assimilation of sociopolitical arguments: Evaluating the 1996 US presidential debate	BASIC AND APPLIED SOCIAL PSYCHOLOGY																													0197-3533					MAR	2002	24	1					15	26		10.1207/153248302753439038							WOS:000174203300002						
J	Pfau, M; Cho, J; Chong, K				Pfau, M; Cho, J; Chong, K			Communication forms in US presidential campaigns - Influences on candidate perceptions and the democratic process	HARVARD INTERNATIONAL JOURNAL OF PRESS-POLITICS																Cho, Jaeho/B-4722-2009													1081-180X					FAL	2001	6	4					88	105		10.1177/108118001129172350							WOS:000174741300006						
J	Yawn, M; Beatty, B				Yawn, M; Beatty, B			Debate-induced opinion change - What matters?	AMERICAN POLITICS QUARTERLY																													0044-7803					APR	2000	28	2					270	285		10.1177/1532673X00028002007							WOS:000086364800007						
J	Hart, RP; Jarvis, SE				Hart, RP; Jarvis, SE			Political debate - Forms, styles, and media	AMERICAN BEHAVIORAL SCIENTIST																													0002-7642					AUG	1997	40	8					1095	1122		10.1177/0002764297040008010							WOS:A1997XM88000009						
J	ZHU, JH; MILAVSKY, JR; BISWAS, R				ZHU, JH; MILAVSKY, JR; BISWAS, R			DO TELEVISED DEBATES AFFECT IMAGE PERCEPTION MORE THAN ISSUE KNOWLEDGE - A STUDY OF THE 1ST 1992 PRESIDENTIAL DEBATE	HUMAN COMMUNICATION RESEARCH																Zhu, Jonathan J. H./F-9859-2012	Zhu, Jonathan J. H./0000-0001-6173-6941												0360-3989					MAR	1994	20	3					302	333		10.1111/j.1468-2958.1994.tb00325.x							WOS:A1994MX54000002						
J	GEER, JG				GEER, JG			THE EFFECTS OF PRESIDENTIAL DEBATES ON THE ELECTORATES PREFERENCES FOR CANDIDATES	AMERICAN POLITICS QUARTERLY																													0044-7803					OCT	1988	16	4					486	501		10.1177/004478088016004005							WOS:A1988Q772400005						
J	SIGELMAN, L; SIGELMAN, CK				SIGELMAN, L; SIGELMAN, CK			JUDGMENTS OF THE CARTER-REAGAN DEBATE - THE EYES OF THE BEHOLDERS	PUBLIC OPINION QUARTERLY																													0033-362X						1984	48	3					624	628		10.1086/268863							WOS:A1984TL32600007						
