PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	BRIGGS, SR; CHEEK, JM; BUSS, AH								AN ANALYSIS OF THE SELF-MONITORING SCALE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				38	4			679	686		10.1037/0022-3514.38.4.679				1980	1980																			0022-3514			WOS:A1980JS31600012		
J	CAMPBELL, DT; FISKE, DW								CONVERGENT AND DISCRIMINANT VALIDATION BY THE MULTITRAIT-MULTIMETHOD MATRIX								PSYCHOLOGICAL BULLETIN				56	2			81	105		10.1037/h0046016				1959	1959																			0033-2909	1939-1455		WOS:A1959WD16300001	13634291	
J	CHEEK, JM; BUSS, AH								SHYNESS AND SOCIABILITY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				41	2			330	339		10.1037/0022-3514.41.2.330				1981	1981																			0022-3514			WOS:A1981MC94200012		
J	COKE, JS; BATSON, CD; MCDAVIS, K								EMPATHIC MEDIATION OF HELPING - 2-STAGE MODEL								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				36	7			752	766		10.1037/0022-3514.36.7.752				1978	1978																			0022-3514			WOS:A1978FK38700009		
J	CRONBACH, LJ								PROCESSES AFFECTING SCORES ON UNDERSTANDING OF OTHERS AND ASSUMED SIMILARITY								PSYCHOLOGICAL BULLETIN				52	3			177	193		10.1037/h0044919				1955	1955																			0033-2909			WOS:A1955WD14000001	14371889	
J	DEUTSCH, F; MADLE, RA								EMPATHY - HISTORIC AND CURRENT CONCEPTUALIZATIONS, MEASUREMENT, AND A COGNITIVE THEORETICAL PERSPECTIVE								HUMAN DEVELOPMENT				18	4			267	287		10.1159/000271488				1975	1975																			0018-716X	1423-0054		WOS:A1975BG80300002	765261	
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	HOGAN, R								DEVELOPMENT OF AN EMPATHY SCALE								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				33	3			307	&		10.1037/h0027580				1969	1969																			0022-006X			WOS:A1969D534900013	4389335	
J	MEHRABIAN, A; EPSTEIN, N								MEASURE OF EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY				40	4			525	543		10.1111/j.1467-6494.1972.tb00078.x				1972	1972																			0022-3506	1467-6494		WOS:A1972O315600003	4642390	
J	RUSSELL, D; PEPLAU, LA; CUTRONA, CE				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			THE REVISED UCLA LONELINESS SCALE - CONCURRENT AND DISCRIMINANT VALIDITY EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				39	3			472	480		10.1037/0022-3514.39.3.472				1980	1980																			0022-3514			WOS:A1980KH70600010	7431205	
J	SNYDER, M								SELF-MONITORING OF EXPRESSIVE BEHAVIOR								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				30	4			526	537		10.1037/h0037039				1974	1974																			0022-3514	1939-1315		WOS:A1974U325600011		
J	SPENCE, JT; HELMREICH, RL; HOLAHAN, CK								NEGATIVE AND POSITIVE COMPONENTS OF PSYCHOLOGICAL MASCULINITY AND FEMININITY AND THEIR RELATIONSHIPS TO SELF-REPORTS OF NEUROTIC AND ACTING-OUT BEHAVIORS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				37	10			1673	1682		10.1037/0022-3514.37.10.1673				1979	1979																			0022-3514			WOS:A1979HU53800004	512834	
