PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Bruneau, EG; Dufour, N; Saxe, R				Bruneau, Emile G.; Dufour, Nicholas; Saxe, Rebecca			Social cognition in members of conflict groups: behavioural and neural responses in Arabs, Israelis and South Americans to each other's misfortunes	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES																	/0000-0003-2377-1791												0962-8436	1471-2970				MAR 5	2012	367	1589			SI		717	730		10.1098/rstb.2011.0293							WOS:000299897700009	22271787					
J	Falk, EB; Spunt, RP; Lieberman, MD				Falk, Emily B.; Spunt, Robert P.; Lieberman, Matthew D.			Ascribing beliefs to ingroup and outgroup political candidates: neural correlates of perspective-taking, issue importance and days until the election	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES																Spunt, Robert/O-9887-2014; Lieberman, Matthew/ABD-8197-2020	Spunt, Robert/0000-0003-2975-4597; Lieberman, Matthew/0000-0002-4447-7359												0962-8436					MAR 5	2012	367	1589			SI		731	743		10.1098/rstb.2011.0302							WOS:000299897700010	22271788					
J	de Kwaadsteniet, EW; van Dijk, E				de Kwaadsteniet, Erik W.; van Dijk, Eric			A social-psychological perspective on tacit coordination: How it works, when it works, (and when it does not)	EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY																													1046-3283	1479-277X				MAR 1	2012	23	1					187	223		10.1080/10463283.2012.718136							WOS:000318339400005						
J	Wood, S				Wood, Stacy			Prone to Progress: Using Personality to Identify Supporters of Innovative Social Entrepreneurship	JOURNAL OF PUBLIC POLICY & MARKETING																	Wood, Stacy/0000-0001-5256-1772												0743-9156					SPR	2012	31	1					129	141		10.1509/jppm.11.060							WOS:000304131500012						
J	Farrant, BM; Devine, TAJ; Maybery, MT; Fletcher, J				Farrant, Brad M.; Devine, Tara A. J.; Maybery, Murray T.; Fletcher, Janet			Empathy, Perspective Taking and Prosocial Behaviour: The Importance of Parenting Practices	INFANT AND CHILD DEVELOPMENT																Farrant, Brad M/E-9447-2012; Kumru, Asiye/H-4048-2014; Maybery, Murray/H-5390-2014	Farrant, Brad M/0000-0002-3903-0990; Maybery, Murray/0000-0002-3760-1382												1522-7227	1522-7219				MAR-APR	2012	21	2					175	188		10.1002/icd.740							WOS:000300982900005						
J	Gummerum, M; Hanoch, Y				Gummerum, Michaela; Hanoch, Yaniv			Altruism Behind Bars: Sharing, Justice, Perspective Taking and Empathy Among Inmates	SOCIAL JUSTICE RESEARCH																	Hanoch, Yaniv/0000-0001-9453-4588												0885-7466	1573-6725				MAR	2012	25	1					61	78		10.1007/s11211-012-0149-8							WOS:000302054500005						
J	Beckman, TJ; Reed, DA; Shanafelt, TD; West, CP				Beckman, Thomas J.; Reed, Darcy A.; Shanafelt, Tait D.; West, Colin P.			Resident Physician Well-Being and Assessments of Their Knowledge and Clinical Performance	JOURNAL OF GENERAL INTERNAL MEDICINE																													0884-8734	1525-1497				MAR	2012	27	3					325	330		10.1007/s11606-011-1891-6							WOS:000301838500014	21948207					
J	Schwartz, RL; Fremouw, W; Schenk, A; Ragatz, LL				Schwartz, Rebecca L.; Fremouw, William; Schenk, Allison; Ragatz, Laurie L.			Psychological Profile of Male and Female Animal Abusers	JOURNAL OF INTERPERSONAL VIOLENCE																													0886-2605					MAR	2012	27	5					846	861		10.1177/0886260511423254							WOS:000301947600002	22007108					
J	Farmer, M; Beech, AR; Ward, T				Farmer, Mark; Beech, Anthony R.; Ward, Tony			Assessing Desistance in Child Molesters: A Qualitative Analysis	JOURNAL OF INTERPERSONAL VIOLENCE																													0886-2605	1552-6518				MAR	2012	27	5					930	950		10.1177/0886260511423255							WOS:000301947600007	22203639					
J	Halevy, N; Chou, EY; Galinsky, AD				Halevy, Nir; Chou, Eileen Y.; Galinsky, Adam D.			Exhausting or exhilarating? Conflict as threat to interests, relationships and identities	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY																													0022-1031	1096-0465				MAR	2012	48	2					530	537		10.1016/j.jesp.2011.11.004							WOS:000301685800012						
