PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Patane, I; Lelgouarch, A; Banakou, D; Verdelet, G; Desoche, C; Koun, E; Salemme, R; Slater, M; Farne, A				Patane, Ivan; Lelgouarch, Anne; Banakou, Domna; Verdelet, Gregoire; Desoche, Clement; Koun, Eric; Salemme, Romeo; Slater, Mel; Farne, Alessandro			Exploring the Effect of Cooperation in Reducing Implicit Racial Bias and Its Relationship With Dispositional Empathy and Political Attitudes	FRONTIERS IN PSYCHOLOGY																													1664-1078					OCT 28	2020	11								510787	10.3389/fpsyg.2020.510787							WOS:000588028800001	33192759					
J	Chen, C; Qin, X; Yam, KC; Wang, HX				Chen, Chen; Qin, Xin; Yam, Kai Chi; Wang, Haixia			Empathy or schadenfreude? Exploring observers' differential responses to abusive supervision	JOURNAL OF BUSINESS AND PSYCHOLOGY																Yam, Kai Chi/C-5538-2016	Yam, Kai Chi/0000-0001-7381-8039												0889-3268	1573-353X															10.1007/s10869-020-09721-4		OCT 2020					WOS:000582770800001						
J	Brown, CL; West, TV; Sanchez, AH; Mendes, WB				Brown, Casey L.; West, Tessa V.; Sanchez, Amy H.; Mendes, Wendy Berry			Emotional Empathy in the Social Regulation of Distress: A Dyadic Approach	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672	1552-7433														0146167220953987	10.1177/0146167220953987		SEP 2020					WOS:000570682200001	32936053					
J	Rodriguez, CM; Wittig, SMO; Silvia, PJ				Rodriguez, Christina M.; Wittig, Shannon M. O.; Silvia, Paul J.			Refining social-information processing theory: Predicting maternal and paternal parent-child aggression risk longitudinally	CHILD ABUSE & NEGLECT																	Rodriguez, Christina/0000-0002-5090-0707												0145-2134	1873-7757				SEP	2020	107								104563	10.1016/j.chiabu.2020.104563							WOS:000571543500002	32682144					
J	Kansky, R; Kidd, M; Fischer, J				Kansky, Ruth; Kidd, Martin; Fischer, Joern			Does money "buy" tolerance toward damage-causing wildlife?	CONSERVATION SCIENCE AND PRACTICE																														2578-4854														e262	10.1111/csp2.262		AUG 2020					WOS:000565933000001						
J	Helt, MS; de Marchena, AB; Schineller, ME; Kirk, AI; Scheub, RJ; Sorensen, TM				Helt, Molly S.; de Marchena, Ashley B.; Schineller, Molly E.; Kirk, Anna I.; Scheub, Rachel J.; Sorensen, Taylor M.			Contagious itching is heightened in children with autism spectrum disorders	DEVELOPMENTAL SCIENCE																													1363-755X	1467-7687														e13024	10.1111/desc.13024		AUG 2020					WOS:000559440600001						
J	Coyne, SM; Stockdale, LA; Warburton, W; Gentile, DA; Yang, CM; Merrill, BM				Coyne, Sarah M.; Stockdale, Laura A.; Warburton, Wayne; Gentile, Douglas A.; Yang, Chongming; Merrill, Brett M.			Pathological Video Game Symptoms From Adolescence to Emerging Adulthood: A 6-Year Longitudinal Study of Trajectories, Predictors, and Outcomes	DEVELOPMENTAL PSYCHOLOGY																													0012-1649	1939-0599				JUL	2020	56	7					1385	1396		10.1037/dev0000939							WOS:000543749100012	32352827					
J	Thoroughgood, CN; Sawyer, KB; Webster, JR				Thoroughgood, Christian N.; Sawyer, Katina B.; Webster, Jennica R.			Finding calm in the storm: A daily investigation of how trait mindfulness buffers against paranoid cognition and emotional exhaustion following perceived discrimination at work	ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES																													0749-5978	1095-9920				JUL	2020	159				SI		49	63		10.1016/j.obhdp.2019.02.004							WOS:000542097000005						
J	Rodriguez, CM; Granger, DA; Leerkes, EM				Rodriguez, Christina M.; Granger, Douglas A.; Leerkes, Esther M.			Testosterone Associations With Parents' Child Abuse Risk and At-Risk Parenting: A Multimethod Longitudinal Examination	CHILD MALTREATMENT																	Rodriguez, Christina/0000-0002-5090-0707												1077-5595	1552-6119														1077559520930819	10.1177/1077559520930819		JUN 2020					WOS:000538257400001	32500732					
J	Saez, G; Riemer, AR; Brock, RL; Gervais, SJ				Saez, Gemma; Riemer, Abigail R.; Brock, Rebecca L.; Gervais, Sarah J.			The Role of Interpersonal Sexual Objectification in Heterosexual Intimate Partner Violence From Perspectives of Perceivers and Targets	JOURNAL OF INTERPERSONAL VIOLENCE																Diaz, Gemma Saez/Y-9960-2019	Diaz, Gemma Saez/0000-0003-1605-951X												0886-2605	1552-6518														0886260520922348	10.1177/0886260520922348		MAY 2020					WOS:000536904800001	32468928					
