PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BERG, JH; PEPLAU, LA								LONELINESS - THE RELATIONSHIP OF SELF-DISCLOSURE AND ANDROGYNY								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				8	4			624	630		10.1177/0146167282084004				1982	1982																			0146-1672			WOS:A1982RR96100009		
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	BURKE, RJ; WEIR, T; HARRISON, D								DISCLOSURE OF PROBLEMS AND TENSIONS EXPERIENCED BY MARITAL PARTNERS								PSYCHOLOGICAL REPORTS				38	2			531	542		10.2466/pr0.1976.38.2.531				1976	1976																			0033-2941			WOS:A1976BR23200038	1265184	
J	BURR, WR								SATISFACTION WITH VARIOUS ASPECTS OF MARRIAGE OVER LIFE CYCLE - RANDOM MIDDLE CLASS SAMPLE								JOURNAL OF MARRIAGE AND THE FAMILY				32	1			29	37		10.2307/349968				1970	1970																			0022-2445			WOS:A1970F774200005		
J	CHELUNE, GJ; SULTAN, FE; WILLIAMS, CL								LONELINESS, SELF-DISCLOSURE, AND INTERPERSONAL EFFECTIVENESS								JOURNAL OF COUNSELING PSYCHOLOGY				27	5			462	468		10.1037/0022-0167.27.5.462				1980	1980																			0022-0167			WOS:A1980KH15900004		
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	FRANZOI, SL; BREWER, LC								THE EXPERIENCE OF SELF-AWARENESS AND ITS RELATION TO LEVEL OF SELF-CONSCIOUSNESS - AN EXPERIENTIAL SAMPLING STUDY								JOURNAL OF RESEARCH IN PERSONALITY				18	4			522	540		10.1016/0092-6566(84)90010-2				1984	1984																			0092-6566			WOS:A1984TX69900010		
J	FRANZOI, SL								SELF-CONCEPT DIFFERENCES AS A FUNCTION OF PRIVATE SELF-CONSCIOUSNESS AND SOCIAL ANXIETY								JOURNAL OF RESEARCH IN PERSONALITY				17	3			275	287		10.1016/0092-6566(83)90019-3				1983	1983																			0092-6566			WOS:A1983RF24200001		
J	GLASS, SP; WRIGHT, TL								RELATIONSHIP OF EXTRA-MARITAL SEX, LENGTH OF MARRIAGE, AND SEX-DIFFERENCES ON MARITAL SATISFACTION AND ROMANTICISM - ATHANASIOUS DATA RE-ANALYZED								JOURNAL OF MARRIAGE AND THE FAMILY				39	4			691	703		10.2307/350475				1977	1977																			0022-2445			WOS:A1977EB74300005		
