PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BENTLER, PM; BONETT, DG				Rathbun, Paige/AAZ-3396-2020				SIGNIFICANCE TESTS AND GOODNESS OF FIT IN THE ANALYSIS OF COVARIANCE-STRUCTURES								PSYCHOLOGICAL BULLETIN				88	3			588	606		10.1037/0033-2909.107.2.238				1980	1980																			0033-2909	1939-1455		WOS:A1980KQ56600003		
J	BERG, JH; PEPLAU, LA								LONELINESS - THE RELATIONSHIP OF SELF-DISCLOSURE AND ANDROGYNY								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				8	4			624	630		10.1177/0146167282084004				1982	1982																			0146-1672			WOS:A1982RR96100009		
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	BURT, RS								CONFIRMATORY FACTOR-ANALYTIC STRUCTURES AND THEORY CONSTRUCTION PROCESS								SOCIOLOGICAL METHODS & RESEARCH				2	2			131	190		10.1177/004912417300200201				1973	1973																			0049-1241			WOS:A1973R789600001		
J	CHELUNE, GJ; SULTAN, FE; WILLIAMS, CL								LONELINESS, SELF-DISCLOSURE, AND INTERPERSONAL EFFECTIVENESS								JOURNAL OF COUNSELING PSYCHOLOGY				27	5			462	468		10.1037/0022-0167.27.5.462				1980	1980																			0022-0167			WOS:A1980KH15900004		
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	FRANZOI, SL; DAVIS, MH								ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	3			768	780		10.1037/0022-3514.48.3.768				1985	1985																			0022-3514	1939-1315		WOS:A1985ADU4900024	3989669	
J	FRANZOI, SL								SELF-CONCEPT DIFFERENCES AS A FUNCTION OF PRIVATE SELF-CONSCIOUSNESS AND SOCIAL ANXIETY								JOURNAL OF RESEARCH IN PERSONALITY				17	3			275	287		10.1016/0092-6566(83)90019-3				1983	1983																			0092-6566			WOS:A1983RF24200001		
J	GOSWICK, RA; JONES, WH								COMPONENTS OF LONELINESS DURING ADOLESCENCE								JOURNAL OF YOUTH AND ADOLESCENCE				11	5			373	383		10.1007/BF01540375				1982	1982																			0047-2891			WOS:A1982QL41500003	24310911	
J	HOROWITZ, LM; DESALESFRENCH, R								INTERPERSONAL PROBLEMS OF PEOPLE WHO DESCRIBE THEMSELVES AS LONELY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				47	4			762	764		10.1037/0022-006X.47.4.762				1979	1979																			0022-006X			WOS:A1979HH29900015	500912	
J	JONES, WH; FREEMON, JE; GOSWICK, RA								THE PERSISTENCE OF LONELINESS - SELF AND OTHER DETERMINANTS								JOURNAL OF PERSONALITY				49	1			27	48		10.1111/j.1467-6494.1981.tb00844.x				1981	1981																			0022-3506			WOS:A1981LK83300003		
J	JORESKOG, KG								A GENERAL APPROACH TO CONFIRMATORY MAXIMUM LIKELIHOOD FACTOR ANALYSIS								PSYCHOMETRIKA				34	2P1			183	&		10.1007/BF02289343				1969	1969																			0033-3123			WOS:A1969D643000003		
J	MILLER, LC; BERG, JH; ARCHER, RL				Miller, Lynn C/E-8101-2010	Miller, Lynn C/0000-0003-3379-3564			OPENERS - INDIVIDUALS WHO ELICIT INTIMATE SELF-DISCLOSURE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	6			1234	1244		10.1037/0022-3514.44.6.1234				1983	1983																			0022-3514			WOS:A1983QT40100013		
J	RUSSELL, D; PEPLAU, LA; CUTRONA, CE				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			THE REVISED UCLA LONELINESS SCALE - CONCURRENT AND DISCRIMINANT VALIDITY EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				39	3			472	480		10.1037/0022-3514.39.3.472				1980	1980																			0022-3514			WOS:A1980KH70600010	7431205	
J	SCHEIER, MF; BUSS, AH; BUSS, DM								SELF-CONSCIOUSNESS, SELF-REPORT OF AGGRESSIVENESS, AND AGGRESSION								JOURNAL OF RESEARCH IN PERSONALITY				12	2			133	140		10.1016/0092-6566(78)90089-2				1978	1978																			0092-6566			WOS:A1978FD65400001		
