PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ADERMAN, D; BREHM, SS; KATZ, LB								EMPATHIC OBSERVATION OF AN INNOCENT VICTIM - JUST WORLD REVISITED								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				29	3			342	347		10.1037/h0036001				1974	1974																			0022-3514			WOS:A1974S430000008	4814123	
J	ADERMAN, D; BERKOWITZ, L								OBSERVATIONAL SET, EMPATHY, AND HELPING								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				14	2			141	148		10.1037/h0028770				1970	1970																			0022-3514			WOS:A1970Y216200006		
J	ARCHER, RL; DIAZLOVING, R; GOLLWITZER, PM; DAVIS, MH; FOUSHEE, HC								THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				40	4			786	796		10.1037/0022-3514.40.4.786				1981	1981																			0022-3514			WOS:A1981LR08600018		
J	BATSON, CD; DUNCAN, BD; ACKERMAN, P; BUCKLEY, T; BIRCH, K								IS EMPATHIC EMOTION A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				40	2			290	302		10.1037/0022-3514.40.2.290				1981	1981																			0022-3514			WOS:A1981LH62000007		
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	BORKE, H								INTERPERSONAL PERCEPTION OF YOUNG CHILDREN - EGOCENTRISM OR EMPATHY								DEVELOPMENTAL PSYCHOLOGY				5	2			263	269		10.1037/h0031267				1971	1971																			0012-1649			WOS:A1971K230200013		
J	DAVIS, MH								THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY				51	2			167	184		10.1111/j.1467-6494.1983.tb00860.x				1983	1983																			0022-3506			WOS:A1983QX75900003		
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH								EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				9	2			223	229		10.1177/0146167283092005				1983	1983																			0146-1672			WOS:A1983RR96300005		
J	DEUTSCH, F; MADLE, RA								EMPATHY - HISTORIC AND CURRENT CONCEPTUALIZATIONS, MEASUREMENT, AND A COGNITIVE THEORETICAL PERSPECTIVE								HUMAN DEVELOPMENT				18	4			267	287		10.1159/000271488				1975	1975																			0018-716X	1423-0054		WOS:A1975BG80300002	765261	
J	POLIVY, J					Polivy, Janet/0000-0003-3997-8586			ON THE INDUCTION OF EMOTION IN THE LABORATORY - DISCRETE MOODS OR MULTIPLE AFFECT STATES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				41	4			803	817		10.1037/0022-3514.41.4.803				1981	1981																			0022-3514			WOS:A1981MM25200018	7288567	
J	TOI, M; BATSON, CD								MORE EVIDENCE THAT EMPATHY IS A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	2			281	292		10.1037/0022-3514.43.2.281				1982	1982																			0022-3514			WOS:A1982PA92700008		
J	WISPE, L								THE ROLE OF MOODS IN HELPING-BEHAVIOR								REPRESENTATIVE RESEARCH IN SOCIAL PSYCHOLOGY				11	1			2	15						1980	1980																			0034-4907			WOS:A1980LB27300001		
