PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BERG, JH; PEPLAU, LA								LONELINESS - THE RELATIONSHIP OF SELF-DISCLOSURE AND ANDROGYNY								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				8	4			624	630		10.1177/0146167282084004				1982	1982																			0146-1672			WOS:A1982RR96100009		
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	COBB, S								SOCIAL SUPPORT AS A MODERATOR OF LIFE STRESS								PSYCHOSOMATIC MEDICINE				38	5			300	314		10.1097/00006842-197609000-00003				1976	1976																			0033-3174			WOS:A1976CK24500002	981490	
J	DAVIS, MH								THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY				51	2			167	184		10.1111/j.1467-6494.1983.tb00860.x				1983	1983																			0022-3506			WOS:A1983QX75900003		
J	DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG								EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	1			126	133		10.1037/0022-3514.52.1.126				JAN 1987	1987																			0022-3514			WOS:A1987F642800015	3820067	
J	DAVIS, MH; FRANZOI, SL								ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	3			595	608		10.1037/0022-3514.51.3.595				SEP 1986	1986																			0022-3514	1939-1315		WOS:A1986D847600012	3761147	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH								EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				9	2			223	229		10.1177/0146167283092005				1983	1983																			0146-1672			WOS:A1983RR96300005		
J	DEAN, A; LIN, N								STRESS-BUFFERING ROLE OF SOCIAL SUPPORT - PROBLEMS AND PROSPECTS FOR SYSTEMATIC INVESTIGATION								JOURNAL OF NERVOUS AND MENTAL DISEASE				165	6			403	417		10.1097/00005053-197712000-00006				1977	1977																			0022-3018	1539-736X		WOS:A1977EF05800006	591939	
J	DEUTSCH, F; MADLE, RA								EMPATHY - HISTORIC AND CURRENT CONCEPTUALIZATIONS, MEASUREMENT, AND A COGNITIVE THEORETICAL PERSPECTIVE								HUMAN DEVELOPMENT				18	4			267	287		10.1159/000271488				1975	1975																			0018-716X	1423-0054		WOS:A1975BG80300002	765261	
