PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BENTLER, PM; BONETT, DG				Rathbun, Paige/AAZ-3396-2020				SIGNIFICANCE TESTS AND GOODNESS OF FIT IN THE ANALYSIS OF COVARIANCE-STRUCTURES								PSYCHOLOGICAL BULLETIN				88	3			588	606		10.1037/0033-2909.107.2.238				1980	1980																			0033-2909	1939-1455		WOS:A1980KQ56600003		
J	CARVER, CS; ANTONI, M; SCHEIER, MF				Carver, Charles S./F-6567-2011	carver, charles/0000-0002-3688-8545			SELF-CONSCIOUSNESS AND SELF-ASSESSMENT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	1			117	124		10.1037/0022-3514.48.1.117				1985	1985																			0022-3514			WOS:A1985ACB9300011		
J	CARVER, CS; HUMPHRIES, C				Carver, Charles S./F-6567-2011				HAVANA DAYDREAMING - A STUDY OF SELF-CONSCIOUSNESS AND THE NEGATIVE REFERENCE GROUP AMONG CUBAN AMERICANS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				40	3			545	552						1981	1981																			0022-3514			WOS:A1981LL30800013		
J	CARVER, CS; SCHEIER, MF				Carver, Charles S./F-6567-2011	carver, charles/0000-0002-3688-8545			CONTROL-THEORY - A USEFUL CONCEPTUAL-FRAMEWORK FOR PERSONALITY-SOCIAL, CLINICAL, AND HEALTH PSYCHOLOGY								PSYCHOLOGICAL BULLETIN				92	1			111	135		10.1037/0033-2909.92.1.111				1982	1982																			0033-2909			WOS:A1982NZ25700006	7134324	
J	CHEEK, JM; BRIGGS, SR								SELF-CONSCIOUSNESS AND ASPECTS OF IDENTITY								JOURNAL OF RESEARCH IN PERSONALITY				16	4			401	408		10.1016/0092-6566(82)90001-0				1982	1982																			0092-6566			WOS:A1982PU72900001		
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	FRANZOI, SL; BREWER, LC								THE EXPERIENCE OF SELF-AWARENESS AND ITS RELATION TO LEVEL OF SELF-CONSCIOUSNESS - AN EXPERIENTIAL SAMPLING STUDY								JOURNAL OF RESEARCH IN PERSONALITY				18	4			522	540		10.1016/0092-6566(84)90010-2				1984	1984																			0092-6566			WOS:A1984TX69900010		
J	FRANZOI, SL								SELF-CONCEPT DIFFERENCES AS A FUNCTION OF PRIVATE SELF-CONSCIOUSNESS AND SOCIAL ANXIETY								JOURNAL OF RESEARCH IN PERSONALITY				17	3			275	287		10.1016/0092-6566(83)90019-3				1983	1983																			0092-6566			WOS:A1983RF24200001		
J	HULL, JG; LEVY, AS								ORGANIZATIONAL FUNCTIONS OF THE SELF - ALTERNATIVE TO THE DUVAL AND WICKLUND MODEL OF SELF-AWARENESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				37	5			756	768		10.1037/0022-3514.37.5.756				1979	1979																			0022-3514			WOS:A1979GX10000011		
J	NASBY, W								PRIVATE SELF-CONSCIOUSNESS, ARTICULATION OF THE SELF-SCHEMA, AND RECOGNITION MEMORY OF TRAIT ADJECTIVES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				49	3			704	709		10.1037/0022-3514.49.3.704				1985	1985																			0022-3514			WOS:A1985AQJ6600011		
J	SCHEIER, MF; CARVER, CS				Carver, Charles S./F-6567-2011				SELF-CONSCIOUSNESS, OUTCOME EXPECTANCY, AND PERSISTENCE								JOURNAL OF RESEARCH IN PERSONALITY				16	4			409	418		10.1016/0092-6566(82)90002-2				1982	1982																			0092-6566			WOS:A1982PU72900002		
J	SCHEIER, MF; BUSS, AH; BUSS, DM								SELF-CONSCIOUSNESS, SELF-REPORT OF AGGRESSIVENESS, AND AGGRESSION								JOURNAL OF RESEARCH IN PERSONALITY				12	2			133	140		10.1016/0092-6566(78)90089-2				1978	1978																			0092-6566			WOS:A1978FD65400001		
J	TURNER, RG								CONSISTENCY, SELF-CONSCIOUSNESS, AND PREDICTIVE-VALIDITY OF TYPICAL AND MAXIMAL PERSONALITY MEASURES								JOURNAL OF RESEARCH IN PERSONALITY				12	1			117	132		10.1016/0092-6566(78)90088-0				1978	1978																			0092-6566			WOS:A1978ES62700011		
J	TURNER, RG								EFFECTS OF DIFFERENTIAL REQUEST PROCEDURES AND SELF-CONSCIOUSNESS ON TRAIT ATTRIBUTIONS								JOURNAL OF RESEARCH IN PERSONALITY				12	4			431	438		10.1016/0092-6566(78)90069-7				1978	1978																			0092-6566			WOS:A1978GJ53500006		
J	TURNER, RG								SELF-CONSCIOUSNESS AND SPEED OF PROCESSING SELF-RELEVANT INFORMATION								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				4	3			456	460		10.1177/014616727800400320				1978	1978																			0146-1672			WOS:A1978FQ22300158		
J	WICKLUND, RA								DISCREPANCY REDUCTION OR ATTEMPTED DISTRACTION - REPLY								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				11	1			78	81		10.1016/S0022-1031(75)80011-4				1975	1975																			0022-1031			WOS:A1975V323400008		
