PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BACKTEMAN, G; MAGNUSSON, D								LONGITUDINAL STABILITY OF PERSONALITY-CHARACTERISTICS								JOURNAL OF PERSONALITY				49	2			148	160		10.1111/j.1467-6494.1981.tb00734.x				1981	1981																			0022-3506			WOS:A1981LV23000003		
J	BATSON, CD; BOLEN, MH; CROSS, JA; NEURINGERBENEFIEL, HE								WHERE IS THE ALTRUISM IN THE ALTRUISTIC PERSONALITY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				50	1			212	220		10.1037/0022-3514.50.1.212				JAN 1986	1986																			0022-3514			WOS:A1986C108900026		
J	BATSON, CD; DUNCAN, BD; ACKERMAN, P; BUCKLEY, T; BIRCH, K								IS EMPATHIC EMOTION A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				40	2			290	302		10.1037/0022-3514.40.2.290				1981	1981																			0022-3514			WOS:A1981LH62000007		
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	CONLEY, JJ								LONGITUDINAL STABILITY OF PERSONALITY-TRAITS - A MULTITRAIT-MULTIMETHOD-MULTIOCCASION ANALYSIS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				49	5			1266	1282		10.1037/0022-3514.49.5.1266				1985	1985																			0022-3514			WOS:A1985AUU6100011	4078676	
J	CONLEY, JJ								LONGITUDINAL CONSISTENCY OF ADULT PERSONALITY - SELF-REPORTED PSYCHOLOGICAL CHARACTERISTICS ACROSS 45 YEARS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				47	6			1325	1333		10.1037/0022-3514.47.6.1325				1984	1984																			0022-3514			WOS:A1984ABC9400012	6527217	
J	COSTA, PT; MCCRAE, RR; ARENBERG, D				Costa, Paul/AAH-6594-2019	Costa, Paul/0000-0003-4375-1712			ENDURING DISPOSITIONS IN ADULT MALES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				38	5			793	800		10.1037/0022-3514.38.5.793				1980	1980																			0022-3514			WOS:A1980JU68100010		
J	DAVIS, MH								THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY				51	2			167	184		10.1111/j.1467-6494.1983.tb00860.x				1983	1983																			0022-3506			WOS:A1983QX75900003		
J	DAVIS, MH; OATHOUT, HA								MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				53	2			397	410		10.1037/0022-3514.53.2.397				AUG 1987	1987																			0022-3514			WOS:A1987J614200020		
J	DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG								EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	1			126	133		10.1037/0022-3514.52.1.126				JAN 1987	1987																			0022-3514			WOS:A1987F642800015	3820067	
J	DAVIS, MH; FRANZOI, SL								ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	3			595	608		10.1037/0022-3514.51.3.595				SEP 1986	1986																			0022-3514	1939-1315		WOS:A1986D847600012	3761147	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH								EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				9	2			223	229		10.1177/0146167283092005				1983	1983																			0146-1672			WOS:A1983RR96300005		
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	FESHBACH, S								THE FUNCTION OF AGGRESSION AND THE REGULATION OF AGGRESSIVE DRIVE								PSYCHOLOGICAL REVIEW				71	4			257	272		10.1037/h0043041				1964	1964																			0033-295X			WOS:A1964WN81400002	14183611	
J	FINN, SE								STABILITY OF PERSONALITY SELF-RATINGS OVER 30 YEARS - EVIDENCE FOR AN AGE COHORT INTERACTION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				50	4			813	818		10.1037/0022-3514.50.4.813				APR 1986	1986																			0022-3514			WOS:A1986A906500020	3712223	
J	FRANZOI, SL; DAVIS, MH								ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	3			768	780		10.1037/0022-3514.48.3.768				1985	1985																			0022-3514	1939-1315		WOS:A1985ADU4900024	3989669	
J	FRANZOI, SL; DAVIS, MH; YOUNG, RD								THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	6			1584	1594		10.1037/0022-3514.48.6.1584				1985	1985																			0022-3514			WOS:A1985AJS8300023	4020610	
J	HOFFMAN, ML								DEVELOPMENTAL SYNTHESIS OF AFFECT AND COGNITION AND ITS IMPLICATIONS FOR ALTRUISTIC MOTIVATION								DEVELOPMENTAL PSYCHOLOGY				11	5			607	622		10.1037/0012-1649.11.5.607				1975	1975																			0012-1649	1939-0599		WOS:A1975AQ71300011		
J	HOFFMAN, ML								SEX-DIFFERENCES IN EMPATHY AND RELATED BEHAVIORS								PSYCHOLOGICAL BULLETIN				84	4			712	722		10.1037/0033-2909.84.4.712				1977	1977																			0033-2909			WOS:A1977DN71800006	897032	
J	HOGAN, R								DEVELOPMENT OF AN EMPATHY SCALE								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				33	3			307	&		10.1037/h0027580				1969	1969																			0022-006X			WOS:A1969D534900013	4389335	
J	HULL, JG; VANTREUREN, RR; VIRNELLI, S								HARDINESS AND HEALTH - A CRITIQUE AND ALTERNATIVE APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				53	3			518	530		10.1037/0022-3514.53.3.518				SEP 1987	1987																			0022-3514	1939-1315		WOS:A1987J918000011	3656083	
J	MEHRABIAN, A; EPSTEIN, N								MEASURE OF EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY				40	4			525	543		10.1111/j.1467-6494.1972.tb00078.x				1972	1972																			0022-3506	1467-6494		WOS:A1972O315600003	4642390	
J	ROMER, D; GRUDER, CL; LIZZADRO, T								A PERSON SITUATION APPROACH TO ALTRUISTIC BEHAVIOR								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	5			1001	1012		10.1037/0022-3514.51.5.1001				NOV 1986	1986																			0022-3514			WOS:A1986E738800011		
J	SCHUERGER, JM; TAIT, E; TAVERNELLI, M								TEMPORAL STABILITY OF PERSONALITY BY QUESTIONNAIRE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	1			176	182		10.1037/0022-3514.43.1.176				1982	1982																			0022-3514			WOS:A1982NY09900016		
J	SNYDER, M								SELF-MONITORING OF EXPRESSIVE BEHAVIOR								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				30	4			526	537		10.1037/h0037039				1974	1974																			0022-3514	1939-1315		WOS:A1974U325600011		
J	STEIN, JA; NEWCOMB, MD; BENTLER, PM								STABILITY AND CHANGE IN PERSONALITY - A LONGITUDINAL-STUDY FROM EARLY ADOLESCENCE TO YOUNG ADULTHOOD								JOURNAL OF RESEARCH IN PERSONALITY				20	3			276	291		10.1016/0092-6566(86)90135-2				SEP 1986	1986																			0092-6566			WOS:A1986D929400004		
J	STEVENS, DP; TRUSS, CV								STABILITY AND CHANGE IN ADULT PERSONALITY OVER 12 AND 20 YEARS								DEVELOPMENTAL PSYCHOLOGY				21	3			568	584		10.1037/0012-1649.21.3.568				1985	1985																			0012-1649			WOS:A1985AHB2400022		
