PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	HATFIELD, E; SPRECHER, S								MEASURING PASSIONATE LOVE IN INTIMATE-RELATIONSHIPS								JOURNAL OF ADOLESCENCE				9	4			383	410		10.1016/S0140-1971(86)80043-4				DEC 1986	1986																			0140-1971			WOS:A1986F370200007	3805440	
J	HAZAN, C; SHAVER, P								ROMANTIC LOVE CONCEPTUALIZED AS AN ATTACHMENT PROCESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	3			511	524		10.1037/0022-3514.52.3.511				MAR 1987	1987																			0022-3514			WOS:A1987G332800006	3572722	
J	HENDRICK, C; HENDRICK, SS								RESEARCH ON LOVE - DOES IT MEASURE UP								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				56	5			784	794		10.1037/0022-3514.56.5.784				MAY 1989	1989																			0022-3514			WOS:A1989U324700012		
J	HENDRICK, C; HENDRICK, S								A THEORY AND METHOD OF LOVE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				50	2			392	402		10.1037/0022-3514.50.2.392				FEB 1986	1986																			0022-3514			WOS:A1986C109000022		
J	HENDRICK, SS; HENDRICK, C								LOVE AND SEXUAL ATTITUDES, SELF-DISCLOSURE AND SENSATION SEEKING								JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS				4	3			281	297		10.1177/026540758700400303				AUG 1987	1987																			0265-4075			WOS:A1987J797700003		
J	RUBIN, Z								MEASUREMENT OF ROMANTIC LOVE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				16	2			265	+		10.1037/h0029841				1970	1970																			0022-3514	1939-1315		WOS:A1970H653100012	5479131	
J	RUSBULT, CE								A LONGITUDINAL TEST OF THE INVESTMENT MODEL - THE DEVELOPMENT (AND DETERIORATION) OF SATISFACTION AND COMMITMENT IN HETEROSEXUAL INVOLVEMENTS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				45	1			101	117		10.1037/0022-3514.45.1.101				1983	1983																			0022-3514			WOS:A1983QX62300009		
J	SHAVER, PR; HAZAN, C								A BIASED OVERVIEW OF THE STUDY OF LOVE								JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS				5	4			473	501		10.1177/0265407588054005				NOV 1988	1988																			0265-4075			WOS:A1988Q761200005		
J	SOLOMON, RL								THE OPPONENT-PROCESS THEORY OF ACQUIRED MOTIVATION - THE COSTS OF PLEASURE AND THE BENEFITS OF PAIN								AMERICAN PSYCHOLOGIST				35	8			691	712		10.1037/0003-066X.35.8.691				1980	1980																			0003-066X			WOS:A1980KD38300002	7416563	
J	STERNBERG, RJ								LIKING VERSUS LOVING - A COMPARATIVE-EVALUATION OF THEORIES								PSYCHOLOGICAL BULLETIN				102	3			331	345		10.1037/0033-2909.102.3.331				NOV 1987	1987																			0033-2909			WOS:A1987K754800001		
J	STERNBERG, RJ								A TRIANGULAR THEORY OF LOVE								PSYCHOLOGICAL REVIEW				93	2			119	135		10.1037/0033-295X.93.2.119				APR 1986	1986																			0033-295X			WOS:A1986A885000001		
