PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Sorokowski, P; Sorokowska, A; Karwowski, M; Groyecka, A; Aavik, T; Akello, G; Alm, C; Amjad, N; Anjum, A; Asao, K; Atama, CS; Duyar, DA; Ayebare, R; Batres, C; Bendixen, M; Bensafia, A; Bizumic, B; Boussena, M; Buss, DM; Butovskaya, M; Can, S; Cantarero, K; Carrier, A; Cetinkaya, H; Chabin, D; Conroy-Beam, D; Croy, I; Cueto, RM; Czub, M; Dronova, D; Dural, S; Duyar, I; Ertugrul, B; Espinosa, A; Estevan, I; Esteves, CS; Frackowiak, T; Graduno, JC; Guemaz, F; Ha Thu, T; Halamova, M; Herak, I; Horvat, M; Hromatko, I; Hui, CM; Jaafar, JL; Jiang, F; Kafetsios, K; Kavcic, T; Kennair, LEO; Kervyn, N; Kobis, NC; Kostic, A; Krasnodebska, A; Lang, A; Lennard, GR; Leon, E; Lindholm, T; Lopez, G; Alhabahba, MM; Mailhos, A; Manesi, Z; Martinez, R; Martinez, MS; McKerchar, SL; Mesko, N; Misra, G; Monaghan, C; Mora, EC; Moya-Garofano, A; Musil, B; Natividade, JC; Nizharadze, G; Oberzaucher, E; Oleszkiewicz, A; Fauzee, MSO; Onyishi, IE; Oozener, B; Pagani, AF; Pakalniskiene, V; Parise, M; Pawlowski, B; Pazhoohi, F; Pejicic, M; Pisanski, A; Pisanski, K; Plohl, N; Ponciano, E; Popa, C; Prokop, P; Przepiorka, A; Lam, TQ; Rizwan, M; Rozycka-Tran, J; Salkicevic, S; Sargautyte, R; Sarmany-Schuller, I; Schmehl, S; Shahid, A; Shaikh, R; Sharad, S; Simonetti, F; Tadinac, M; Ha, TTK; Gonzalez, KU; Vauclair, CM; Vega, LD; Widarini, DA; Wojciszke, B; Yoo, G; Zadeh, ZF; Zatkova, M; Zupancic, M; Sternberg, RJ				Sorokowski, Piotr; Sorokowska, Agnieszka; Karwowski, Maciej; Groyecka, Agata; Aavik, Toivo; Akello, Grace; Alm, Charlotte; Amjad, Naumana; Anjum, Afifa; Asao, Kelly; Atama, Chiemezie S.; Duyar, Derya Atamturk; Ayebare, Richard; Batres, Carlota; Bendixen, Mons; Bensafia, Aicha; Bizumic, Boris; Boussena, Mahmoud; Buss, David M.; Butovskaya, Marina; Can, Seda; Cantarero, Katarzyna; Carrier, Antonin; Cetinkaya, Hakan; Chabin, Dominika; Conroy-Beam, Daniel; Croy, Ilona; Cueto, Rosa Maria; Czub, Marcin; Dronova, Daria; Dural, Seda; Duyar, Izzet; Ertugrul, Berna; Espinosa, Agustin; Estevan, Ignacio; Esteves, Carla Sofia; Frackowiak, Tomasz; Graduno, Jorge Contreras; Guemaz, Farida; Ha Thu, Tran; Halamova, Maria; Herak, Iskra; Horvat, Marina; Hromatko, Ivana; Hui, Chin-Ming; Jaafar, Jas Laile; Jiang, Feng; Kafetsios, Konstantinos; Kavcic, Tina; Kennair, Leif Edward Ottesen; Kervyn, Nicolas; Kobis, Nils C.; Kostic, Aleksandra; Krasnodebska, Anna; Lang, Andras; Lennard, Georgina R.; Leon, Ernesto; Lindholm, Torun; Lopez, Gulia; Alhabahba, Mohammad Madallh; Mailhos, Alvaro; Manesi, Zoi; Martinez, Rocio; Martinez, Mario Sainz; McKerchar, Sarah L.; Mesko, Norbert; Misra, Girishwar; Monaghan, Conal; Mora, Emanuel C.; Moya-Garofano, Alba; Musil, Bojan; Natividade, Jean Carlos; Nizharadze, George; Oberzaucher, Elisabeth; Oleszkiewicz, Anna; Fauzee, Mohd Sofian Omar; Onyishi, Ike E.; Ozener, Baris; Pagani, Ariela Francesca; Pakalniskiene, Vilmante; Parise, Miriam; Pawlowski, Boguslaw; Pazhoohi, Farid; Pejicic, Marija; Pisanski, Annette; Pisanski, Katarzyna; Plohl, Nejc; Ponciano, Edna; Popa, Camelia; Prokop, Pavol; Przepiorka, Aneta; Lam, Truong Quang; Rizwan, Muhammad; Rozycka-Tran, Joanna; Salkicevic, Svjetlana; Sargautyte, Ruta; Sarmany-Schuller, Ivan; Schmehl, Susanne; Shahid, Anam; Shaikh, Rizwana; Sharad, Shivantika; Simonetti, Franco; Tadinac, Meri; Ha, Truong Thi Khanh; Gonzalez, Karina Ugalde; Vauclair, Christin-Melanie; Vega, Luis Diego; Widarini, Dwi Ajeng; Wojciszke, Bogdan; Yoo, Gyesook; Zadeh, Zainab Fotowwat; Zatkova, Marta; Zupancic, Maja; Sternberg, Robert J.			Universality of the Triangular Theory of Love: Adaptation and Psychometric Properties of the Triangular Love Scale in 25 Countries	JOURNAL OF SEX RESEARCH																Ozener, Baris/AAC-5491-2020; Hui, Chin Ming/J-7904-2019; Ponciano, Edna/F-3169-2017; duyar, izzet/AAH-5882-2019; Pawlowski, Boguslaw/C-1088-2013; Kafetsios, Konstantinos/F-1559-2011; Onyishi, Ike/AAZ-4887-2020; atamturk, derya/AAN-7313-2020; Prokop, Pavol/ABD-9546-2020; Rozycka-Tran, Joanna/ABE-5992-2020; Martinez, Rocio/F-8136-2016; Kobis, Nils/B-6354-2018; Bizumic, Boris/N-6880-2015	Hui, Chin Ming/0000-0002-8265-8353; Ponciano, Edna/0000-0002-8606-1095; duyar, izzet/0000-0002-4578-0528; Pawlowski, Boguslaw/0000-0002-7418-475X; Kafetsios, Konstantinos/0000-0001-5933-4409; Onyishi, Ike/0000-0003-0908-6413; Prokop, Pavol/0000-0003-2016-7468; Alm, Charlotte/0000-0002-9116-4777; Martinez, Rocio/0000-0002-3020-0172; Estevan, Ignacio/0000-0003-4743-1310; Kobis, Nils/0000-0002-0608-7333; Pakalniskiene, Vilmante/0000-0002-8042-2910; Bizumic, Boris/0000-0003-2574-4893												0022-4499	1559-8519				JAN 2	2021	58	1					106	115		10.1080/00224499.2020.1787318		AUG 2020					WOS:000558963100001	32783568					
J	Gesell, N; Niklas, F; Schmiedeler, S; Segerer, R				Gesell, Nathalie; Niklas, Frank; Schmiedeler, Sandra; Segerer, Robin			Mindfulness and Romantic Relationship Outcomes: the Mediating Role of Conflict Resolution Styles and Closeness	MINDFULNESS																													1868-8527	1868-8535				OCT	2020	11	10					2314	2324		10.1007/s12671-020-01449-9		JUL 2020					WOS:000552154500002						
J	Prayag, G; Mills, H; Lee, C; Soscia, I				Prayag, Girish; Mills, Hamish; Lee, Craig; Soscia, Isabella			Team identification, discrete emotions, satisfaction, and event attachment: A social identity perspective	JOURNAL OF BUSINESS RESEARCH																	Prayag, Girish/0000-0001-6243-2747												0148-2963	1873-7978				MAY	2020	112						373	384		10.1016/j.jbusres.2019.11.062							WOS:000527393100035						
J	Fulop, F; Bothe, B; Gal, E; Cachia, JYA; Demetrovics, Z; Orosz, G				Fulop, Flora; Bothe, Beata; Gal, Eva; Cachia, Julie Youko Anne; Demetrovics, Zsolt; Orosz, Gabor			A two-study validation of a single-item measure of relationship satisfaction: RAS-1	CURRENT PSYCHOLOGY																Bothe, Beata/I-6802-2017	Bothe, Beata/0000-0003-2718-4703												1046-1310	1936-4733															10.1007/s12144-020-00727-y		APR 2020					WOS:000526875800001						
J	Li, TY; Tsang, VHL; Fung, HH; Qiu, XL; Wang, WC				Li, Tianyuan; Tsang, Vivian Hiu-Ling; Fung, Helene H.; Qiu, Xue-Lan; Wang, Wen-Chung			Measuring Dynamic Goals for Marriage: Development and Validation of the Marital Goal Scale Using Rasch Modeling	PSYCHOLOGICAL ASSESSMENT																	Li, Tianyuan/0000-0002-6187-3580												1040-3590	1939-134X				MAR	2020	32	3					211	226		10.1037/pas0000779							WOS:000513065700002	31647255					
J	Ng, TK				Ting Kin Ng			Psychometric properties of the Chinese version of the Intimacy, Passion, and Commitment Scale	CURRENT PSYCHOLOGY																Ng, Ting Kin/S-6051-2018	Ng, Ting Kin/0000-0001-9578-5215												1046-1310	1936-4733				FEB	2020	39	1					58	67		10.1007/s12144-017-9731-4							WOS:000512776300007						
J	Clemente, M; Gandoy-Crego, M; Bugallo-Carrera, C; Reig-Botella, A; Gomez-Cantorna, C				Clemente, Miguel; Gandoy-Crego, Manuel; Bugallo-Carrera, Cesar; Reig-Botella, Adela; Gomez-Cantorna, Cristina			Types of love as a function of satisfaction and age	PSYCH JOURNAL																Botella, Adela Reig/K-3497-2017; Gandoy-Crego, Manuel/ABE-1612-2020; Clemente, Miguel/H-2842-2015	Botella, Adela Reig/0000-0001-7943-5514; Gandoy-Crego, Manuel/0000-0003-0193-8175; Clemente, Miguel/0000-0002-8960-2336												2046-0252	2046-0260				JUN	2020	9	3					402	413		10.1002/pchj.338		JAN 2020					WOS:000508178300001	31960588					
J	Merino, MD; Privado, J				Merino, M. D.; Privado, J.			Is Love Triarchic or Monarchical-Hierarchical? A Proposal of a General Factor of Love and a Scale to Measure it	SPANISH JOURNAL OF PSYCHOLOGY																													1138-7416	1988-2904					2020	23								e10	10.1017/SJP.2020.3							WOS:000536509000001	32475377					
J	Mejia, CY; Donahue, JJ; Farley, SD				Mejia, Caitlyn Y.; Donahue, John J.; Farley, Sally D.			Mean, uncommitted, and aggressive: Divergent associations between triarchic psychopathy, elements of love, and caustic relationship behaviors	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																Donahue, John J/AAG-7001-2020	Donahue, John J/0000-0002-6175-811X												0265-4075	1460-3608				APR	2020	37	4					1193	1215	0265407519890414	10.1177/0265407519890414		DEC 2019					WOS:000500666700001						
J	Freihart, BK; Meston, CM				Freihart, Bridget K.; Meston, Cindy M.			Preliminary Evidence for a Relationship Between Physiological Synchrony and Sexual Satisfaction in Opposite-Sex Couples	JOURNAL OF SEXUAL MEDICINE																													1743-6095	1743-6109				DEC	2019	16	12					2000	2010		10.1016/j.jsxm.2019.09.023							WOS:000499225300016	31708485					
