PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bernstein, William M.; Davis, Mark H.					Bernstein, William/0000-0001-9311-5242			Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception								BASIC AND APPLIED SOCIAL PSYCHOLOGY				3	1			1	19		10.1207/s15324834basp0301_1				1982	1982																			0197-3533	1532-4834		WOS:000209511400001		
J	CURRAN J P; LITTLE L M; GILBERT F S								REACTIVITY OF MALES OF DIFFERING HETERO SEXUAL SOCIAL ANXIETY TO FEMALE APPROACH AND NONAPPROACH CUE CONDITIONS								Behavior Therapy				9	5			961	961		10.1016/S0005-7894(78)80031-8				1978	1978																			0005-7894			BCI:BCI197917055839		
J	DAVIS, MH								THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY				51	2			167	184		10.1111/j.1467-6494.1983.tb00860.x				1983	1983																			0022-3506			WOS:A1983QX75900003		
J	DAVIS, MH; OATHOUT, HA								MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				53	2			397	410		10.1037/0022-3514.53.2.397				AUG 1987	1987																			0022-3514			WOS:A1987J614200020		
J	DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG								EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	1			126	133		10.1037/0022-3514.52.1.126				JAN 1987	1987																			0022-3514			WOS:A1987F642800015	3820067	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH								EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				9	2			223	229		10.1177/0146167283092005				1983	1983																			0146-1672			WOS:A1983RR96300005		
J	FISCHETTI, M; CURRAN, JP; WESSBERG, HW								SENSE OF TIMING - SKILL DEFICIT IN HETEROSEXUAL SOCIALLY ANXIOUS MALES								BEHAVIOR MODIFICATION				1	2			179	199		10.1177/014544557712002				1977	1977																			0145-4455			WOS:A1977DD90300002		
J	FRANZOI, SL; DAVIS, MH; YOUNG, RD								THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	6			1584	1594		10.1037/0022-3514.48.6.1584				1985	1985																			0022-3514			WOS:A1985AJS8300023	4020610	
J	HIMADI, WG; ARKOWITZ, H; HINTON, R; PERL, J								MINIMAL DATING AND ITS RELATIONSHIP TO OTHER SOCIAL-PROBLEMS AND GENERAL ADJUSTMENT								BEHAVIOR THERAPY				11	3			345	352		10.1016/S0005-7894(80)80051-7				1980	1980																			0005-7894	1878-1888		WOS:A1980JZ25900007		
J	SCHLENKER, BR; LEARY, MR								SOCIAL ANXIETY AND SELF-PRESENTATION - A CONCEPTUALIZATION AND MODEL								PSYCHOLOGICAL BULLETIN				92	3			641	669		10.1037/0033-2909.92.3.641				1982	1982																			0033-2909	1939-1455		WOS:A1982PQ86300005	7156261	
J	TWENTYMAN, CT; MCFALL, RM								BEHAVIORAL TRAINING OF SOCIAL SKILLS IN SHY MALES								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	3			384	395		10.1037/h0076743				1975	1975																			0022-006X			WOS:A1975AF21700015	1159128	
