PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	CHEEK, JM; BUSS, AH								SHYNESS AND SOCIABILITY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				41	2			330	339		10.1037/0022-3514.41.2.330				1981	1981																			0022-3514			WOS:A1981MC94200012		
J	CHEEK, JM; BUSCH, CM								THE INFLUENCE OF SHYNESS ON LONELINESS IN A NEW SITUATION								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				7	4			572	577		10.1177/014616728174008				1981	1981																			0146-1672			WOS:A1981MX97300006		
J	DEJONGGIERVELD, J								DEVELOPING AND TESTING A MODEL OF LONELINESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				53	1			119	128		10.1037/0022-3514.53.1.119				JUL 1987	1987																			0022-3514	1939-1315		WOS:A1987H936600012	3612484	
J	Gutek, Barbara A.; Nakamura, Charles Y.; Gahart, Martin; Handschumacher, Inger; Russell, Dan								Sexuality and the Workplace								BASIC AND APPLIED SOCIAL PSYCHOLOGY				1	3			255	265		10.1207/s15324834basp0103_5				1980	1980																			0197-3533	1532-4834		WOS:000209510400005		
J	HOJAT, M								LONELINESS AS A FUNCTION OF SELECTED PERSONALITY-VARIABLES								JOURNAL OF CLINICAL PSYCHOLOGY				38	1			137	141		10.1002/1097-4679(198201)38:1<137::AID-JCLP2270380122>3.0.CO;2-2				1982	1982																			0021-9762			WOS:A1982MZ06700021	7056862	
J	JONES, WH; FREEMON, JE; GOSWICK, RA								THE PERSISTENCE OF LONELINESS - SELF AND OTHER DETERMINANTS								JOURNAL OF PERSONALITY				49	1			27	48		10.1111/j.1467-6494.1981.tb00844.x				1981	1981																			0022-3506			WOS:A1981LK83300003		
J	JONES, WH								LONELINESS AND SOCIAL CONTACT								JOURNAL OF SOCIAL PSYCHOLOGY				113	2			295	296		10.1080/00224545.1981.9924386				1981	1981																			0022-4545			WOS:A1981LM56000020		
J	LEVIN, I; STOKES, JP								AN EXAMINATION OF THE RELATION OF INDIVIDUAL DIFFERENCE VARIABLES TO LONELINESS								JOURNAL OF PERSONALITY				54	4			717	733		10.1111/j.1467-6494.1986.tb00422.x				DEC 1986	1986																			0022-3506			WOS:A1986F687600007	3820046	
J	MALLINCKRODT, B				Mallinckrodt, Brent/I-3388-2013				SOCIAL SUPPORT AND THE EFFECTIVENESS OF GROUP-THERAPY								JOURNAL OF COUNSELING PSYCHOLOGY				36	2			170	175		10.1037/0022-0167.36.2.170				APR 1989	1989																			0022-0167			WOS:A1989T914800005		
J	ROSS, RR; ALTMAIER, EM; RUSSELL, DW				Russell, Daniel/A-7559-2013	Russell, Daniel/0000-0003-2264-861X			JOB STRESS, SOCIAL SUPPORT, AND BURNOUT AMONG COUNSELING-CENTER STAFF								JOURNAL OF COUNSELING PSYCHOLOGY				36	4			464	470		10.1037/0022-0167.36.4.464				OCT 1989	1989																			0022-0167			WOS:A1989AT47100011		
J	RUSSELL, D; CUTRONA, CE; ROSE, J; YURKO, K				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			SOCIAL AND EMOTIONAL LONELINESS - AN EXAMINATION OF WEISS TYPOLOGY OF LONELINESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				46	6			1313	1321		10.1037/0022-3514.46.6.1313				1984	1984																			0022-3514			WOS:A1984SX86900011	6737214	
J	RUSSELL, D; PEPLAU, LA; CUTRONA, CE				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			THE REVISED UCLA LONELINESS SCALE - CONCURRENT AND DISCRIMINANT VALIDITY EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				39	3			472	480		10.1037/0022-3514.39.3.472				1980	1980																			0022-3514			WOS:A1980KH70600010	7431205	
J	SCHMIDT, N; SERMAT, V				Schmidt, Norman B/C-6426-2015	Schmidt, Norman B/0000-0003-4125-9601			MEASURING LONELINESS IN DIFFERENT RELATIONSHIPS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	5			1038	1047		10.1037/0022-3514.44.5.1038				1983	1983																			0022-3514			WOS:A1983QN91600016		
J	STOKES, JP								THE RELATION OF SOCIAL NETWORK AND INDIVIDUAL DIFFERENCE VARIABLES TO LONELINESS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	4			981	990		10.1037/0022-3514.48.4.981				1985	1985																			0022-3514			WOS:A1985AFN6400014		
J	VAUX, A								SOCIAL AND PERSONAL FACTORS IN LONELINESS								JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY				6	3-4			462	471		10.1521/jscp.1988.6.3-4.462				1988	1988																			0736-7236			WOS:A1988P906500020		
J	VAUX, A								SOCIAL AND EMOTIONAL LONELINESS - THE ROLE OF SOCIAL AND PERSONAL CHARACTERISTICS								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				14	4			722	734		10.1177/0146167288144007				DEC 1988	1988																			0146-1672			WOS:A1988R502900007		
