PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BUKOWSKI, WM; NEWCOMB, AF								STABILITY AND DETERMINANTS OF SOCIOMETRIC STATUS AND FRIENDSHIP CHOICE - A LONGITUDINAL PERSPECTIVE								DEVELOPMENTAL PSYCHOLOGY				20	5			941	952		10.1037/0012-1649.20.5.941				1984	1984																			0012-1649			WOS:A1984TH40200021		
J	COHEN, J				SALAZAR, ANTONIO/A-5806-2013; Noojipady, Praveen/B-2511-2010; Pal, Deb K/F-3318-2011	SALAZAR, ANTONIO/0000-0003-2639-2340; Newman, Gregory/0000-0003-0503-5782			A COEFFICIENT OF AGREEMENT FOR NOMINAL SCALES								EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT				20	1			37	46		10.1177/001316446002000104				1960	1960																			0013-1644			WOS:A1960CCC3600004		
J	COIE, JD; DODGE, KA								MULTIPLE SOURCES OF DATA ON SOCIAL-BEHAVIOR AND SOCIAL-STATUS IN THE SCHOOL - A CROSS-AGE COMPARISON								CHILD DEVELOPMENT				59	3			815	829		10.1111/j.1467-8624.1988.tb03237.x				JUN 1988	1988																			0009-3920			WOS:A1988N581000024	3383681	
J	COIE, JD; COPPOTELLI, H; DODGE, KA								DIMENSIONS AND TYPES OF SOCIAL-STATUS - A CROSS-AGE PERSPECTIVE								DEVELOPMENTAL PSYCHOLOGY				18	4			557	570		10.1037/0012-1649.18.4.557				1982	1982																			0012-1649			WOS:A1982NY88000007		
J	COIE, JD; DODGE, KA								CONTINUITIES AND CHANGES IN CHILDRENS SOCIAL-STATUS - A 5-YEAR LONGITUDINAL-STUDY								MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY				29	3			261	282						1983	1983																			0272-930X			WOS:A1983RD87800003		
J	DAVIS, MH; FRANZOI, SL								ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	3			595	608		10.1037/0022-3514.51.3.595				SEP 1986	1986																			0022-3514	1939-1315		WOS:A1986D847600012	3761147	
J	DAVIS, MH; FRANZOI, SL								STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY								JOURNAL OF RESEARCH IN PERSONALITY				25	1			70	87		10.1016/0092-6566(91)90006-C				MAR 1991	1991																			0092-6566			WOS:A1991EY04800005		
J	DODGE, KA								BEHAVIORAL ANTECEDENTS OF PEER SOCIAL-STATUS								CHILD DEVELOPMENT				54	6			1386	1399		10.1111/j.1467-8624.1983.tb00055.x				1983	1983																			0009-3920			WOS:A1983RV87400004		
J	DODGE, KA; COIE, JD; BRAKKE, NP								BEHAVIOR PATTERNS OF SOCIALLY REJECTED AND NEGLECTED PREADOLESCENTS - THE ROLES OF SOCIAL APPROACH AND AGGRESSION								JOURNAL OF ABNORMAL CHILD PSYCHOLOGY				10	3			389	409		10.1007/BF00912329				1982	1982																			0091-0627			WOS:A1982PJ88300007	7175045	
J	EVANS, GW; PALSANE, MN; LEPORE, SJ; MARTIN, J				Lepore, Stephen/AAE-3485-2020	Lepore, Stephen/0000-0001-7370-6280			RESIDENTIAL DENSITY AND PSYCHOLOGICAL HEALTH - THE MEDIATING EFFECTS OF SOCIAL SUPPORT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				57	6			994	999		10.1037/0022-3514.57.6.994				DEC 1989	1989																			0022-3514	1939-1315		WOS:A1989CJ75000007	2614664	
J	FRANZOI, SL; DAVIS, MH								ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	3			768	780		10.1037/0022-3514.48.3.768				1985	1985																			0022-3514	1939-1315		WOS:A1985ADU4900024	3989669	
J	FRENCH, DC; WAAS, GA								BEHAVIOR PROBLEMS OF PEER-NEGLECTED AND PEER-REJECTED ELEMENTARY-AGE CHILDREN - PARENT AND TEACHER PERSPECTIVES								CHILD DEVELOPMENT				56	1			246	252		10.1111/j.1467-8624.1985.tb00102.x				1985	1985																			0009-3920			WOS:A1985ACR7800024	3886320	
J	FRENTZ, C; GRESHAM, FM; ELLIOTT, SN								POPULAR, CONTROVERSIAL, NEGLECTED, AND REJECTED ADOLESCENTS - CONTRASTS OF SOCIAL COMPETENCE AND ACHIEVEMENT DIFFERENCES								JOURNAL OF SCHOOL PSYCHOLOGY				29	2			109	120		10.1016/S0022-4405(05)80003-2				SUM 1991	1991																			0022-4405			WOS:A1991FD87900003		
J	JONES, WH; CARPENTER, BN; QUINTANA, D								PERSONALITY AND INTERPERSONAL PREDICTORS OF LONELINESS IN 2 CULTURES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	6			1503	1511		10.1037/0022-3514.48.6.1503				1985	1985																			0022-3514			WOS:A1985AJS8300013		
J	KENNEDY, JH								DETERMINANTS OF PEER SOCIAL-STATUS - CONTRIBUTIONS OF PHYSICAL APPEARANCE, REPUTATION, AND BEHAVIOR								JOURNAL OF YOUTH AND ADOLESCENCE				19	3			233	244		10.1007/BF01537889				JUN 1990	1990																			0047-2891	1573-6601		WOS:A1990ED71400004	24272451	
J	KREBS, D; ADINOLFI, AA								PHYSICAL ATTRACTIVENESS, SOCIAL-RELATIONS, AND PERSONALITY STYLE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				31	2			245	253		10.1037/h0076286				1975	1975																			0022-3514			WOS:A1975V572800008	1123713	
J	LADD, GW								SOCIAL NETWORKS OF POPULAR, AVERAGE, AND REJECTED CHILDREN IN SCHOOL SETTINGS								MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY				29	3			283	307						1983	1983																			0272-930X			WOS:A1983RD87800004		
J	LANDIS, JR; KOCH, GG				Harding, Richard/G-9729-2012; SALAZAR, ANTONIO/A-5806-2013; Landis, J. Richard/A-9330-2010	SALAZAR, ANTONIO/0000-0003-2639-2340; Landis, J Richard/0000-0001-8099-0988			MEASUREMENT OF OBSERVER AGREEMENT FOR CATEGORICAL DATA								BIOMETRICS				33	1			159	174		10.2307/2529310				1977	1977																			0006-341X	1541-0420		WOS:A1977CY39700012	843571	
J	MILLER, LC; BERG, JH; ARCHER, RL				Miller, Lynn C/E-8101-2010	Miller, Lynn C/0000-0003-3379-3564			OPENERS - INDIVIDUALS WHO ELICIT INTIMATE SELF-DISCLOSURE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	6			1234	1244		10.1037/0022-3514.44.6.1234				1983	1983																			0022-3514			WOS:A1983QT40100013		
J	NEWCOMB, AF; BUKOWSKI, WM								A LONGITUDINAL-STUDY OF THE UTILITY OF SOCIAL PREFERENCE AND SOCIAL IMPACT SOCIOMETRIC CLASSIFICATION SCHEMES								CHILD DEVELOPMENT				55	4			1434	1447		10.2307/1130013				1984	1984																			0009-3920	1467-8624		WOS:A1984TN55000032	6386368	
J	NEWCOMB, AF; BUKOWSKI, WM								SOCIAL IMPACT AND SOCIAL PREFERENCE AS DETERMINANTS OF CHILDRENS PEER GROUP STATUS								DEVELOPMENTAL PSYCHOLOGY				19	6			856	867		10.1037/0012-1649.19.6.856				1983	1983																			0012-1649			WOS:A1983RP51500007		
J	NEWCOMB, AF; BUKOWSKI, WM; PATTEE, L								CHILDRENS PEER RELATIONS - A METAANALYTIC REVIEW OF POPULAR, REJECTED, NEGLECTED, CONTROVERSIAL, AND AVERAGE SOCIOMETRIC STATUS								PSYCHOLOGICAL BULLETIN				113	1			99	128		10.1037/0033-2909.113.1.99				JAN 1993	1993																			0033-2909			WOS:A1993KF47800006	8426876	
J	RUSSELL, D; PEPLAU, LA; CUTRONA, CE				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			THE REVISED UCLA LONELINESS SCALE - CONCURRENT AND DISCRIMINANT VALIDITY EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				39	3			472	480		10.1037/0022-3514.39.3.472				1980	1980																			0022-3514			WOS:A1980KH70600010	7431205	
J	SCHULTZ, NR; MOORE, D								LONELINESS - CORRELATES, ATTRIBUTIONS, AND COPING AMONG OLDER ADULTS								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				10	1			67	77		10.1177/0146167284101007				1984	1984																			0146-1672			WOS:A1984SN39800006		
J	TERRY, R; COIE, JD								A COMPARISON OF METHODS FOR DEFINING SOCIOMETRIC STATUS AMONG CHILDREN								DEVELOPMENTAL PSYCHOLOGY				27	5			867	880		10.1037/0012-1649.27.5.867				SEP 1991	1991																			0012-1649			WOS:A1991GF88700015		
