PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Dun, WH; Fan, TT; Wang, QM; Wang, K; Yang, J; Li, H; Liu, JX; Liu, HJ				Dun, Wanghuan; Fan, Tongtong; Wang, Qiming; Wang, Ke; Yang, Jing; Li, Hui; Liu, Jixin; Liu, Hongjuan			Association Between Trait Empathy and Resting Brain Activity in Women With Primary Dysmenorrhea During the Pain and Pain-Free Phases	FRONTIERS IN PSYCHIATRY																													1664-0640					NOV 26	2020	11								608928	10.3389/fpsyt.2020.608928							WOS:000596825600001	33324267					
J	Kozina, A; Marusic, I; Oskarsson, M; Veldin, M; Vidmar, M; Mlekuz, A; Stremfel, U; Perse, TV				Kozina, Ana; Marusic, Iris; Oskarsson, Magnus; Veldin, Manja; Vidmar, Masa; Mlekuz, Ana; Stremfel, Urska; Vrsnik Perse, Tina			Predictive value of empathy components for types of aggression in the school setting: a cross-country comparison	EDUCATIONAL STUDIES																	Oskarsson, Magnus/0000-0002-6595-2497												0305-5698	1465-3400															10.1080/03055698.2020.1833839		OCT 2020					WOS:000581981400001						
J	Ferguson, AM; Cameron, CD; Inzlicht, M				Ferguson, Amanda M.; Cameron, C. Daryl; Inzlicht, Michael			Motivational effects on empathic choices	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY																													0022-1031	1096-0465				SEP	2020	90								104010	10.1016/j.jesp.2020.104010							WOS:000564686700016						
J	Rativa, AS; Postma, M; Van Zaanen, M				Sierra Rativa, Alexandra; Postma, Marie; Van Zaanen, Menno			The Influence of Game Character Appearance on Empathy and Immersion: Virtual Non-Robotic Versus Robotic Animals	SIMULATION & GAMING																													1046-8781	1552-826X				OCT	2020	51	5					685	711	1046878120926694	10.1177/1046878120926694		JUL 2020					WOS:000545101600001						
J	Abramson, L; Uzefovsky, F; Toccaceli, V; Knafo-Noam, A				Abramson, Lior; Uzefovsky, Florina; Toccaceli, Virgilia; Knafo-Noam, Ariel			The genetic and environmental origins of emotional and cognitive empathy: Review and meta-analyses of twin studies	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS																Knafo-Noam, Ariel/M-7438-2017	Knafo-Noam, Ariel/0000-0003-0613-1960												0149-7634	1873-7528				JUL	2020	114						113	133		10.1016/j.neubiorev.2020.03.023							WOS:000539093400009	32353470					
J	Rum, Y; Perry, A				Rum, Yonat; Perry, Anat			Empathic Accuracy in Clinical Populations	FRONTIERS IN PSYCHIATRY																													1664-0640					JUN 3	2020	11								457	10.3389/fpsyt.2020.00457							WOS:000543204700001	32581862					
J	Lowicki, P; Zajenkowski, M				Lowicki, Pawel; Zajenkowski, Marcin			Empathy and Exposure to Credible Religious Acts during Childhood Independently Predict Religiosity	INTERNATIONAL JOURNAL FOR THE PSYCHOLOGY OF RELIGION																Lowicki, Pawel/L-1081-2016	Lowicki, Pawel/0000-0001-6012-6287												1050-8619	1532-7582				APR 2	2020	30	2					128	141		10.1080/10508619.2019.1672486							WOS:000526444100005						
J	Samur, D; Tops, M; Slapsinskaite, R; Koole, SL				Samur, Dalya; Tops, Mattie; Slapsinskaite, Ringaile; Koole, Sander L.			Getting lost in a story: how narrative engagement emerges from narrative perspective and individual differences in alexithymia	COGNITION & EMOTION																													0269-9931	1464-0600															10.1080/02699931.2020.1732876		MAR 2020					WOS:000519324600001	32151217					
J	Marchetti, A; Miraglia, L; Di Dio, C				Marchetti, Antonella; Miraglia, Laura; Di Dio, Cinzia			Toward a Socio-Material Approach to Cognitive Empathy in Autistic Spectrum Disorder	FRONTIERS IN PSYCHOLOGY																													1664-1078					JAN 10	2020	10								2965	10.3389/fpsyg.2019.02965							WOS:000509283800001	31998198					
J	Mupfasoni, B; Kessler, A; Lans, T; Ngenzebuke, RL				Mupfasoni, Belyse; Kessler, Aad; Lans, Thomas; Ngenzebuke, Rama Lionel			Exploring entrepreneurial-group formation by smallholder Burundian farmers	JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING ECONOMIES																													2044-0839	2044-0847				FEB 10	2020	10	1			SI		85	102		10.1108/JADEE-12-2018-0181		DEC 2019					WOS:000507657800001						
J	Haut, KM; Dodell-Feder, D; Guty, E; Nahum, M; Hooker, CI				Haut, Kristen M.; Dodell-Feder, David; Guty, Erin; Nahum, Mor; Hooker, Christine, I			Change in Objective Measure of Empathic Accuracy Following Social Cognitive Training	FRONTIERS IN PSYCHIATRY																	Haut, Kristen/0000-0002-1747-4099; Nahum, Mor/0000-0002-2861-6486												1664-0640					DEC 10	2019	10								894	10.3389/fpsyt.2019.00894							WOS:000504234900001	31920748					
J	Mori, A; Cigala, A				Mori, Arianna; Cigala, Ada			'Putting oneself in someone else's shoes during childhood: How to learn it' Training for preschool age children	BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY																													0007-0998	2044-8279				DEC	2019	89	4					750	766		10.1111/bjep.12255							WOS:000498348400011	30375639					
J	Dryburgh, NSJ; Vachon, DD				Dryburgh, Nicole S. J.; Vachon, David D.			Relating sex differences in aggression to three forms of empathy	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Dryburgh, Nicole/0000-0002-1324-0164												0191-8869					DEC 1	2019	151								109526	10.1016/j.paid.2019.109526							WOS:000488303400023						
J	Mana, A				Mana, Adi			Knowledge About the "Others", Perspective Taking, and Anxiety About Intergroup Contact in a Natural Intergroup Contact	PEACE AND CONFLICT-JOURNAL OF PEACE PSYCHOLOGY																Mana, Adi/C-6842-2016	Mana, Adi/0000-0001-7733-7937												1078-1919	1532-7949				NOV	2019	25	4					276	286		10.1037/pac0000413							WOS:000497307300002						
J	Konrath, S				Konrath, Sara			Museums as Weavers of the Invisible Strings that Connect us	JOURNAL OF THE AUSTRALIAN LIBRARY AND INFORMATION ASSOCIATION																	Konrath, Sara/0000-0001-9182-0095												2475-0158	2475-0166				OCT 2	2019	68	4					327	342		10.1080/24750158.2019.1670772		OCT 2019					WOS:000493181000001						
J	Paolini, D				Paolini, Daniele			The ostracism and its consequences: A literature review	PSICOLOGIA SOCIALE																Paolini, Daniele/AAH-2430-2019													1827-2517					SEP-DEC	2019	14	3					317	341		10.1482/94938							WOS:000496954000001						
J	Erlandsson, A; Nilsson, A; Tinghog, G; Andersson, D; Vastfjall, D				Erlandsson, Arvid; Nilsson, Artur; Tinghog, Gustav; Andersson, David; Vastfjall, Daniel			Donations to Outgroup Charities, but Not Ingroup Charities, Predict Helping Intentions Toward Street-Beggars in Sweden	NONPROFIT AND VOLUNTARY SECTOR QUARTERLY																Tinghog, Gustav/O-2653-2019; Vastfjall, Daniel/F-9629-2014	Tinghog, Gustav/0000-0002-8159-1249; Nilsson, Artur/0000-0002-0301-9095; Vastfjall, Daniel/0000-0003-2873-4500												0899-7640	1552-7395				AUG	2019	48	4					814	838		10.1177/0899764018819872							WOS:000475332100006						
J	Bos, J; Stokes, MA				Bos, Jason; Stokes, Mark A.			Cognitive empathy moderates the relationship between affective empathy and wellbeing in adolescents with autism spectrum disorder	EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY																Stokes, Mark A/P-8937-2017	Stokes, Mark A/0000-0001-6488-4544; Bos, Jason/0000-0002-8009-3336												1740-5629	1740-5610				JUL 4	2019	16	4					433	446		10.1080/17405629.2018.1444987							WOS:000468760600005						
J	Clifford, S; Kirkland, JH; Simas, EN				Clifford, Scott; Kirkland, Justin H.; Simas, Elizabeth N.			How Dispositional Empathy Influences Political Ambition	JOURNAL OF POLITICS																													0022-3816	1468-2508				JUL 1	2019	81	3					1043	1056		10.1086/703381							WOS:000474803600023						
J	Malatesta, G; Marzoli, D; Rapino, M; Tommasi, L				Malatesta, Gianluca; Marzoli, Daniele; Rapino, Maria; Tommasi, Luca			The left-cradling bias and its relationship with empathy and depression	SCIENTIFIC REPORTS																Malatesta, Gianluca/AAB-5297-2020	Malatesta, Gianluca/0000-0002-7658-2364; Tommasi, Luca/0000-0003-0664-714X												2045-2322					APR 16	2019	9								6141	10.1038/s41598-019-42539-6							WOS:000464652400012	30992497					
J	Schapira, R; Elfenbein, HA; Amichay-Setter, M; Zahn-Waxler, C; Knafo-Noam, A				Schapira, Rotem; Elfenbein, Hillary Anger; Amichay-Setter, Meirav; Zahn-Waxler, Carolyn; Knafo-Noam, Ariel			Shared Environment Effects on Children's Emotion Recognition	FRONTIERS IN PSYCHIATRY																Knafo-Noam, Ariel/M-7438-2017	Knafo-Noam, Ariel/0000-0003-0613-1960												1664-0640					APR 11	2019	10								215	10.3389/fpsyt.2019.00215							WOS:000464405400001	31057435					
J	Knight, LK; Stoica, T; Fogleman, ND; Depue, BE				Knight, Lindsay K.; Stoica, Teodora; Fogleman, Nicholas D.; Depue, Brendan E.			Convergent Neural Correlates of Empathy and Anxiety During Socioemotional Processing	FRONTIERS IN HUMAN NEUROSCIENCE																	Stoica, Teodora/0000-0003-1797-7443; Knight, Lindsay/0000-0002-0120-5556; Fogleman, Nicholas/0000-0002-7103-2080												1662-5161					MAR 19	2019	13								94	10.3389/fnhum.2019.00094							WOS:000461779100001	30949039					
