PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ARON, A; ARON, EN; TUDOR, M; NELSON, G								CLOSE RELATIONSHIPS AS INCLUDING OTHER IN THE SELF								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				60	2			241	253		10.1037/0022-3514.60.2.241				FEB 1991	1991																			0022-3514	1939-1315		WOS:A1991EY27600006		
J	BARGH, JA; PIETROMONACO, P								AUTOMATIC INFORMATION-PROCESSING AND SOCIAL-PERCEPTION - THE INFLUENCE OF TRAIT INFORMATION PRESENTED OUTSIDE OF CONSCIOUS AWARENESS ON IMPRESSION-FORMATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	3			437	449		10.1037/0022-3514.43.3.437				1982	1982																			0022-3514			WOS:A1982PF75000002		
J	BATSON, CD; BATSON, JG; GRIFFITT, CA; BARRIENTOS, S; BRANDT, JR; SPRENGELMEYER, P; BAYLY, MJ								NEGATIVE-STATE RELIEF AND THE EMPATHY ALTRUISM HYPOTHESIS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				56	6			922	933		10.1037/0022-3514.56.6.922				JUN 1989	1989																			0022-3514	1939-1315		WOS:A1989U794800007		
J	BETANCOURT, H								AN ATTRIBUTION-EMPATHY MODEL OF HELPING-BEHAVIOR - BEHAVIORAL INTENTIONS AND JUDGMENTS OF HELP-GIVING								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				16	3			573	591		10.1177/0146167290163015				SEP 1990	1990																			0146-1672	1552-7433		WOS:A1990DW32800015		
J	BYRNE, D								INTERPERSONAL-ATTRACTION AND ATTITUDE SIMILARITY								JOURNAL OF ABNORMAL AND SOCIAL PSYCHOLOGY				62	3			713	&		10.1037/h0044721				1961	1961																						WOS:A19610515600005	13875334	
J	COLLINS, AM; LOFTUS, EF				lee, yujun/P-6069-2014; Loftus, Elizabeth F./W-2726-2019	lee, yujun/0000-0002-5821-7355; 			SPREADING ACTIVATION THEORY OF SEMANTIC PROCESSING								PSYCHOLOGICAL REVIEW				82	6			407	428		10.1037/0033-295X.82.6.407				1975	1975																			0033-295X			WOS:A1975AW08700002		
J	DAVIS, MH								THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY				51	2			167	184		10.1111/j.1467-6494.1983.tb00860.x				1983	1983																			0022-3506			WOS:A1983QX75900003		
J	EISENBERG, N; MILLER, PA								THE RELATION OF EMPATHY TO PRO-SOCIAL AND RELATED BEHAVIORS								PSYCHOLOGICAL BULLETIN				101	1			91	119		10.1037/0033-2909.101.1.91				JAN 1987	1987																			0033-2909			WOS:A1987F724700005	3562705	
J	Feshbach, N D								Studies of empathic behavior in children.								Progress in experimental personality research				8				1	47						1978	1978																			0079-6255			MEDLINE:360290	360290	
J	GALPER, RE								TURNING OBSERVERS INTO ACTORS - DIFFERENTIAL CAUSAL ATTRIBUTIONS AS A FUNCTION OF EMPATHY								JOURNAL OF RESEARCH IN PERSONALITY				10	3			328	335		10.1016/0092-6566(76)90022-2				1976	1976																			0092-6566			WOS:A1976CC22200008		
