from	to
000354818700007	000233203600004
000354818700007	000221766600004
000354818700007	A1997WC93600009
000354818700007	000179255300004
000354818700007	000080361400002
000354818700007	000272074900005
000354818700007	A1990CN05800015
000354818700007	000223595800007
000354818700007	A1973R338500003
000354818700007	A1996UE80100005
000354818700007	000248008100008
000354818700007	A1990FQ56400005
000354818700007	A1978ES90600001
000354818700007	000236015800001
000354818700007	000189385100007
000354818700007	A1994PY84800019
000354818700007	A1990DW35200003
000354818700007	000269278800049
000354818700007	A1969D534900013
000354818700007	000249206400001
000354818700007	000256170700005
000354818700007	A1994PM01700004
000354818700007	A1987K088400010
000354818700007	000081753900002
000354818700007	000233457500005
000354818700007	A1997XM66500008
000354818700007	A1972O315600003
000354818700007	000263729700005
000354818700007	000077863700006
000354818700007	000278485100011
000354818700007	A1995RV80400007
000354818700007	A1978EY96200004
000354818700007	8060907
000354818700007	A1996VL80700002
000354818700007	000286551100014
000354818700007	000229903400001
000354818700007	A1976CJ31900003
000354818700007	000175907500009
000354818700007	7666389
000354818700007	A1986C109000010
000448692200003	A1983PY32000010
000451863800002	A1983PY32000010
000451234400001	A1983PY32000010
000494226000004	A1983PY32000010
000447710000002	A1983PY32000010
000458677700008	A1983PY32000010
000458408700007	A1983PY32000010
000456665500004	A1983PY32000010
000456665500006	A1983PY32000010
000456810600005	A1983PY32000010
000450384000015	A1983PY32000010
000452345700045	A1983PY32000010
000449237500005	A1983PY32000010
000449137500011	A1983PY32000010
000449116100002	A1983PY32000010
000446285000002	A1983PY32000010
000448450200008	A1983PY32000010
000451450400016	A1983PY32000010
000449627200024	A1983PY32000010
000442058800023	A1983PY32000010
000449902700092	A1983PY32000010
000449710100003	A1983PY32000010
000449504000007	A1983PY32000010
000451305400008	A1983PY32000010
000450612500004	A1983PY32000010
000449958800008	A1983PY32000010
000448693200009	A1983PY32000010
000448485500006	A1983PY32000010
000448093100028	A1983PY32000010
000445986500016	A1983PY32000010
000450827600001	A1983PY32000010
000463265100002	A1983PY32000010
000448497100004	A1983PY32000010
000448448700026	A1983PY32000010
000447638200014	A1983PY32000010
000447423400001	A1983PY32000010
000447288500001	A1983PY32000010
000447197900004	A1983PY32000010
000447062800001	A1983PY32000010
000446133800001	A1983PY32000010
000456664300001	A1983PY32000010
000448133100014	A1983PY32000010
000445959500008	A1983PY32000010
000450543800038	A1983PY32000010
000446504800002	A1983PY32000010
000446863000006	A1983PY32000010
000448405900002	A1983PY32000010
000448065200006	A1983PY32000010
000447921400014	A1983PY32000010
000446279900006	A1983PY32000010
000446101800002	A1983PY32000010
000445990300033	A1983PY32000010
000445990300049	A1983PY32000010
000445182800004	A1983PY32000010
000498523700008	A1983PY32000010
000445125300004	A1983PY32000010
000444735500016	A1983PY32000010
000443367600003	A1983PY32000010
000443210500010	A1983PY32000010
000442704800020	A1983PY32000010
000445639700029	A1983PY32000010
000445299000001	A1983PY32000010
000445837400001	A1983PY32000010
000447224900058	A1983PY32000010
