paper_id	title	journ	pub_year	au_name
000405273800008	INTIMATE PARTNER SUPPORT: A COMPARISON OF GAY, LESBIAN, AND HETEROSEXUAL RELATIONSHIPS	PERSONAL RELATIONSHIPS	2017	ELLIS, L; DAVIS, M
000397366500031	SOCIAL PROJECTION TO LIKED AND DISLIKED TARGETS: THE ROLE OF PERCEIVED SIMILARITY	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY	2017	DAVIS, MH
000449485000011	EMPATHY IN TWENTIETH-CENTURY PSYCHOLOGY	ROUTLEDGE HANDBOOK OF PHILOSOPHY OF EMPATHY	2017	DAVIS, MH
000354818700007	EMPATHY-RELATED INTERVENTIONS	WILEY BLACKWELL HANDBOOK OF POSITIVE PSYCHOLOGICAL INTERVENTIONS	2014	DAVIS, MH; BEGOVIC, E
000302483400002	THE ROLE OF THE SELF IN PERSPECTIVE-TAKING AND EMPATHY: EASE OF SELF-SIMULATION AS A HEURISTIC FOR INFERRING EMPATHIC FEELINGS	SOCIAL COGNITION	2012	CHAMBERS, JR; DAVIS, MH
000301796600006	THE VALIDATION OF THE INTERPERSONAL REACTIVITY INDEX FOR CHINESE TEACHERS FROM PRIMARY AND MIDDLE SCHOOLS	JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	2012	HUANG, XZ; LI, WJ; SUN, BH; CHEN, HD; DAVIS, MH
000288331600008	DISPOSITIONAL EMPATHY AND THE HIERARCHICAL STRUCTURE OF PERSONALITY	AMERICAN JOURNAL OF PSYCHOLOGY	2011	MOORADIAN, TA; DAVIS, M; MATZLER, K
000281740800005	GENDER DIFFERENCES IN RESPONDING TO CONFLICT IN THE WORKPLACE: EVIDENCE FROM A LARGE SAMPLE OF WORKING ADULTS	SEX ROLES	2010	DAVIS, MH; CAPOBIANCO, S; KRAUS, LA
000281477500003	EMPATHY AND SOCIAL SUPPORT PROVISION IN COUPLES: SOCIAL SUPPORT AND THE NEED TO STUDY THE UNDERLYING PROCESSES	JOURNAL OF PSYCHOLOGY	2010	DEVOLDRE, I; DAVIS, MH; VERHOFSTADT, LL; BUYSSE, A
000268845400004	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	DAVIS, MH; KRAUS, LA; CAPOBIANCO, S
000261678100006	SUPPORT PROVISION IN MARRIAGE: THE ROLE OF EMOTIONAL SIMILARITY AND EMPATHIC ACCURACY	EMOTION	2008	VERHOFSTADT, LL; BUYSSE, A; ICKES, W; DAVIS, M; DEVOLDRE, I
